t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
1,0,25.077871,8.250402,8.250402,0,1,63.611138,1,4180479.1929,851790.2213,4725995.8230,4180483.8852,851790.4574,4726000.1391,25.3190,1.000000
2,0,23.766438,5.775951,7.013176,0,1,150.923376,1,4180486.7059,851791.1155,4726007.2306,4180483.1551,851790.3086,4726000.8072,14.6728,4.359721
3,0,14.999968,2.641985,5.556113,0,1,129.319334,1,4180482.1943,851791.9540,4726002.9215,4180482.4250,851790.1598,4726001.4754,4.3003,1.335889
4,0,14.811016,1.620882,4.572305,0,1,112.735058,1,4180479.0965,851791.2977,4725995.1966,4180481.6948,851790.0111,4726002.1435,13.1229,1.276212
5,0,10.049443,0.780357,3.813915,0,0,96.787839,1,4180478.5146,851792.5823,4725998.9622,4180480.9647,851789.8623,4726002.8117,3.9506,1.148542
6,0,9.321220,1.729843,3.466570,0,0,80.559330,1,4180477.7273,851797.0807,4726001.2337,4180480.2346,851789.7135,4726003.4798,11.1531,1.000000
7,0,8.738774,1.929769,3.247027,0,0,70.263679,1,4180476.5713,851794.7413,4726000.4784,4180479.5045,851789.5648,4726004.1480,6.0480,1.000000
8,0,25.678555,6.058059,3.598406,0,0,62.802795,1,4180476.0300,851792.0586,4726009.8624,4180478.7744,851789.4160,4726004.8161,20.4192,1.000000
9,0,3.684219,0.383042,3.241143,0,0,56.971106,1,4180476.2459,851791.2537,4726011.8616,4180478.0442,851789.2672,4726005.4843,6.7998,1.000000
10,0,18.483223,5.890126,3.506042,0,0,52.204615,1,4180479.7820,851789.9346,4726009.2544,4180477.3141,851789.1185,4726006.1525,11.9109,1.000000
11,0,14.124930,4.799759,3.160977,0,0,48.198362,1,4180482.8269,851786.8980,4726008.2400,4180476.5840,851788.9697,4726006.8206,14.8271,1.000000
12,0,18.457451,7.587722,3.342154,0,0,44.767254,1,4180482.0015,851790.4831,4726005.9832,4180475.8539,851788.8209,4726007.4888,15.2225,1.000000
13,0,19.667297,11.708980,4.248854,1,0,41.788561,1,4180476.6736,851790.7856,4726005.5291,4180475.1237,851788.6722,4726008.1569,13.6200,1.000000
14,0,6.386684,0.656649,4.152431,0,0,39.175439,1,4180475.1866,851790.7082,4726007.1798,4180474.3936,851788.5234,4726008.8251,3.7518,1.000000
15,0,15.350614,2.368446,4.311240,0,0,36.863497,1,4180474.7283,851789.4755,4726011.1413,4180473.6635,851788.3746,4726009.4932,13.1528,1.000000
16,0,8.994823,1.636919,4.301947,0,0,34.803358,1,4180475.6665,851789.0306,4726010.5797,4180472.9334,851788.2259,4726010.1614,8.7791,1.000000
17,0,11.024541,1.082377,4.217208,0,0,32.956207,1,4180475.3872,851789.1560,4726008.9965,4180472.2032,851788.0771,4726010.8295,11.2869,1.000000
18,0,7.264154,1.710530,3.782455,0,0,31.290956,1,4180473.7277,851789.8475,4726009.7171,4180471.4731,851787.9283,4726011.4977,5.8086,1.000000
19,0,4.484236,0.605187,3.804669,0,0,29.782330,1,4180472.3622,851789.5304,4726010.5507,4180470.7430,851787.7796,4726012.1658,1.9858,1.000000
20,0,22.420361,7.574788,3.973136,0,0,28.409538,1,4180471.4188,851787.1522,4726014.6402,4180470.0129,851787.6308,4726012.8340,19.9797,1.000000
21,0,8.683224,0.996306,3.592790,0,0,27.155300,1,4180470.6968,851786.1245,4726016.8477,4180469.2828,851787.4820,4726013.5021,10.7776,1.000000
22,0,7.077581,0.500754,2.884093,0,0,26.005131,1,4180470.0720,851786.0354,4726018.9390,4180468.5526,851787.3333,4726014.1703,10.5937,1.000000
23,0,15.083078,4.822891,2.195485,0,0,24.946794,1,4180471.0986,851786.3997,4726021.6928,4180467.8225,851787.1845,4726014.8384,19.6650,1.000000
24,0,15.092936,3.780889,2.507909,0,0,23.969880,1,4180471.7831,851785.4036,4726020.8591,4180467.0924,851787.0357,4726015.5066,13.0297,1.000000
25,0,10.766584,2.199045,2.490969,0,0,23.065483,1,4180471.1775,851783.9880,4726020.6011,4180466.3623,851786.8870,4726016.1747,9.7539,1.000000
26,0,8.578555,2.523437,2.579620,0,0,22.225936,1,4180470.9414,851784.8325,4726021.6848,4180465.6321,851786.7382,4726016.8429,10.1281,1.000000
27,0,20.493398,14.650612,3.936444,1,0,21.444606,1,4180468.3038,851786.5074,4726022.6718,4180464.9020,851786.5895,4726017.5110,16.0721,1.000000
28,0,22.740331,4.738395,4.239230,0,0,20.715725,1,4180467.7791,851786.6469,4726020.5382,4180464.1719,851786.4407,4726018.1792,17.7586,1.000000
29,0,20.942570,8.060755,4.984787,0,1,20.034257,1,4180465.7239,851785.5886,4726023.4963,4180463.4418,851786.2919,4726018.8473,21.3633,1.000000
30,0,9.877995,1.690413,4.396350,0,1,49.907446,1,4180462.8769,851785.2012,4726021.9436,4180462.7116,851786.1432,4726019.5155,5.0220,3.351939
31,0,4.476911,0.607104,4.357430,0,0,47.366907,1,4180462.9836,851786.0795,4726022.7474,4180461.9815,851785.9944,4726020.1836,4.6463,1.249540
32,0,17.383673,9.561122,5.263466,0,1,38.847287,1,4180460.3554,851781.7752,4726023.2475,4180461.2514,851785.8456,4726020.8518,16.9962,1.000000
33,0,11.285769,3.470154,5.128193,0,1,54.096392,1,4180460.3857,851785.1710,4726022.7374,4180460.5213,851785.6969,4726021.5199,6.3812,1.968936
34,0,17.224510,2.488706,4.998974,0,1,56.896489,1,4180458.5221,851785.9597,4726017.1131,4180459.7911,851785.5481,4726022.1881,15.9732,1.532299
35,0,10.585544,1.775319,4.956602,0,1,56.799736,1,4180456.2423,851783.7362,4726020.5866,4180459.0610,851785.3993,4726022.8563,7.7923,1.451743
36,0,20.079500,7.152594,5.419517,0,1,68.278903,1,4180461.4435,851786.0060,4726027.3457,4180458.3309,851785.2506,4726023.5244,15.9464,1.982878
37,0,8.753169,0.660170,4.020473,0,0,56.480532,1,4180460.0823,851786.0998,4726025.0264,4180457.6008,851785.1018,4726024.1926,4.8542,1.188780
38,0,18.831212,7.124533,4.259087,0,0,44.530533,1,4180458.2768,851782.0844,4726021.9313,4180456.8706,851784.9530,4726024.8607,17.1520,1.000000
39,0,14.498029,4.437720,3.896783,0,0,37.653491,1,4180455.6180,851783.5449,4726024.8029,4180456.1405,851784.8043,4726025.5289,10.1436,1.000000
40,0,11.326128,4.077272,4.135469,0,0,33.311660,1,4180456.1989,851785.3270,4726024.9093,4180455.4104,851784.6555,4726026.1970,10.1218,1.000000
41,0,10.187899,3.411583,4.415917,0,1,30.408391,1,4180456.3800,851787.0590,4726025.7349,4180454.6803,851784.5067,4726026.8652,11.1116,1.000000
42,0,15.757978,2.566986,3.716504,0,0,41.399742,1,4180456.7272,851786.1117,4726022.2760,4180453.9501,851784.3580,4726027.5333,17.0373,1.628199
43,0,9.283793,1.687196,3.538208,0,0,36.369604,1,4180455.5786,851784.6286,4726024.1700,4180453.2200,851784.2092,4726028.2015,4.2950,1.000000
44,0,17.777677,3.193125,3.608650,0,0,33.017734,1,4180453.8989,851784.7392,4726020.8934,4180452.4899,851784.0604,4726028.8696,21.5567,1.000000
