counter,importance,std_of_rate,mean_of_rate,event
hpmcounter6,0.1423463568735199,0.0028458696739400205,0.04546558533110869,FP load retired (mix check)
hpmcounter3,0.1415778483182998,0.0008426854823195579,0.014616804521649636,FP add retired (mix check)
hpmcounter7,0.1407837699322114,0.001175053434783004,0.01924483316209949,FP store retired (mix check)
hpmcounter4,0.13952546359538942,0.000965834625651161,0.013823959212836452,FP multiply retired (mix check)
hpmcounter8,0.13940660359296025,0.0004063805438511044,0.0008130690302607978,other FP retired (mix check)
hpmcounter10,0.13196703763706985,7.554382314749831e-06,5.5193366743010775e-05,pipeline flushes (ANCHOR: negative control)
hpmcounter9,0.12219292954082389,0.013978148786340629,0.4846996208994751,int arithmetic retired (ANCHOR: activity reference)
hpmcounter5,0.0,0.0,0.0,FP fused-multiply-add retired (mix check)
