t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
67,0,12.093119,4.949097,3.557051,0,0,22.581439,1,4180433.2677,851779.4873,4726042.3940,4180435.6970,851780.6388,4726044.2370,7.8313
68,0,7.136423,0.573747,2.224012,0,0,22.580924,1,4180432.2933,851779.5159,4726044.0658,4180434.9668,851780.4900,4726044.9052,6.1885
69,0,7.399249,0.816378,2.125830,0,0,22.580460,1,4180432.1486,851779.1906,4726045.7555,4180434.2367,851780.3413,4726045.5733,5.9832
70,0,10.605107,1.322542,1.691029,0,0,22.580045,1,4180431.8748,851779.3591,4726045.3415,4180433.5066,851780.1925,4726046.2414,9.6462
71,0,9.288885,1.372067,1.583186,0,0,22.579679,1,4180431.6630,851778.3552,4726045.1113,4180432.7764,851780.0437,4726046.9096,10.0780
72,0,17.476611,6.781482,2.205985,0,0,22.579361,1,4180431.3542,851780.3214,4726047.4188,4180432.0463,851779.8950,4726047.5777,14.8563
73,0,10.203603,0.977370,2.139472,0,0,22.579087,1,4180430.8509,851779.9726,4726049.5951,4180431.3162,851779.7462,4726048.2459,10.1501
74,0,10.157127,3.182732,2.267824,0,0,22.578854,1,4180431.5937,851780.9369,4726050.0699,4180430.5861,851779.5974,4726048.9140,9.6241
75,0,5.359553,0.506496,2.171528,0,0,22.578659,1,4180431.0720,851780.3508,4726050.4073,4180429.8559,851779.4487,4726049.5822,3.5092
76,0,23.881400,6.021179,2.650309,0,0,22.578498,1,4180429.5408,851779.8717,4726048.2345,4180429.1258,851779.2999,4726050.2503,22.4871
77,0,10.134635,2.092846,2.364684,0,0,22.578366,1,4180427.7485,851780.0446,4726047.9051,4180428.3957,851779.1511,4726050.9185,11.4923
78,0,8.322408,2.333889,2.540698,0,0,22.578261,1,4180427.6624,851778.5889,4726048.3983,4180427.6655,851779.0024,4726051.5866,8.1032
79,0,6.571184,1.057069,2.564767,0,0,22.578178,1,4180427.3756,851777.4953,4726048.4438,4180426.9354,851778.8536,4726052.2548,9.2519
80,0,12.669961,5.166988,2.949212,0,0,22.578114,1,4180428.9627,851776.8316,4726048.5502,4180426.2053,851778.7048,4726052.9229,14.9730
81,0,7.721054,1.563923,2.968398,0,0,22.578065,1,4180427.4845,851776.8948,4726049.6204,4180425.4752,851778.5561,4726053.5911,2.9502
82,0,6.492959,1.427534,2.433003,0,0,22.578030,1,4180427.4959,851777.6561,4726050.1634,4180424.7450,851778.4073,4726054.2592,7.6646
83,0,13.714881,3.290725,2.664338,0,0,22.578006,1,4180426.1719,851776.2932,4726049.2482,4180424.0149,851778.2585,4726054.9273,17.0298
84,0,11.087986,2.889746,2.635040,0,0,22.577989,1,4180424.5290,851777.0444,4726050.6330,4180423.2848,851778.1098,4726055.5955,5.4559
85,0,7.398986,1.558157,2.740206,0,0,22.577980,1,4180424.3898,851777.9144,4726051.5968,4180422.5546,851777.9610,4726056.2636,6.5468
86,0,9.306164,2.868431,2.424931,0,0,22.577975,1,4180425.3873,851777.3300,4726051.9283,4180421.8245,851777.8122,4726056.9318,12.7828
87,0,9.505126,2.707809,2.486427,0,0,22.577974,1,4180423.8565,851778.3238,4726052.9502,4180421.0944,851777.6635,4726057.5999,6.3698
88,0,17.724180,3.961271,2.649165,0,0,22.577975,1,4180422.0939,851778.5523,4726055.6667,4180420.3642,851777.5147,4726058.2681,12.3799
89,0,14.065630,2.041034,2.747562,0,0,22.577978,1,4180421.0001,851778.0974,4726058.1806,4180419.6341,851777.3659,4726058.9362,11.1778
90,0,9.027050,1.452056,2.376069,0,0,22.577982,1,4180420.9520,851778.7713,4726058.0694,4180418.9040,851777.2172,4726059.6044,10.4683
91,0,16.941750,2.548091,2.474485,0,0,22.577986,1,4180420.1857,851778.8154,4726056.6117,4180418.1739,851777.0684,4726060.2725,18.5059
92,0,4.300419,0.624926,2.394225,0,0,22.577990,1,4180420.2672,851778.5831,4726057.2586,4180417.4437,851776.9196,4726060.9406,7.0826
93,0,9.389486,2.656089,2.330761,0,0,22.577994,1,4180421.2448,851778.3881,4726057.3992,4180416.7136,851776.7709,4726061.6088,13.7307
94,0,13.664726,2.347899,2.276576,0,0,22.577998,1,4180419.8849,851778.5725,4726059.6464,4180415.9835,851776.6221,4726062.2769,8.8014
95,0,9.073694,2.274850,2.348246,0,0,22.578000,1,4180418.5680,851777.3906,4726059.7518,4180415.2533,851776.4733,4726062.9451,8.3863
96,0,10.344274,3.398809,2.401283,0,0,22.578003,1,4180416.5885,851776.1259,4726060.8073,4180414.5232,851776.3246,4726063.6132,6.8075
97,0,7.288248,0.998678,2.230370,0,0,22.578005,1,4180415.0250,851775.9939,4726060.7499,4180413.7931,851776.1758,4726064.2814,8.8081
98,0,5.611948,1.066445,1.940888,0,0,22.578006,1,4180413.1969,851775.6457,4726061.3858,4180413.0629,851776.0270,4726064.9495,5.7597
99,0,9.213388,2.061459,1.942930,0,0,22.578006,1,4180413.3533,851774.6584,4726062.7730,4180412.3328,851775.8783,4726065.6176,7.7638
100,0,11.598288,1.924200,1.990145,0,0,22.578007,1,4180412.3332,851773.3871,4726064.8139,4180411.6027,851775.7295,4726066.2858,9.9933
101,0,11.045302,2.726584,2.007994,0,0,22.578006,1,4180411.5436,851771.5097,4726066.5861,4180410.8725,851775.5807,4726066.9539,12.3762
102,0,17.974774,3.303100,2.275811,0,0,22.578006,1,4180411.4790,851771.0306,4726069.7439,4180410.1424,851775.4320,4726067.6221,18.3924
103,0,3.486916,0.143669,2.024569,0,0,22.578005,1,4180410.6323,851770.2879,4726071.1923,4180409.4123,851775.2832,4726068.2902,8.2599
104,0,25.392028,5.975686,2.387348,0,0,22.578004,1,4180409.3222,851769.4653,4726068.9202,4180408.6821,851775.1344,4726068.9584,23.0041
105,0,6.919784,0.574765,2.217339,0,0,22.578003,1,4180408.6324,851769.3020,4726070.5858,4180407.9520,851774.9857,4726069.6265,7.6709
106,0,7.546969,0.844798,1.961938,0,0,22.578002,1,4180408.0768,851769.3754,4726070.5910,4180407.2219,851774.8369,4726070.2946,6.3464
107,0,18.166851,9.867009,2.848771,0,0,22.578000,1,4180408.7858,851771.5179,4726072.3563,4180406.4917,851774.6881,4726070.9628,14.6930
