counter,within_seed_std (avg),between_seed_std,between/within ratio,dominant_source
hpmcounter3,2.0881553177559093e-05,3.0187887896544457e-06,0.14456725340233148,within-seed (run jitter)
hpmcounter4,7.875031445076786e-06,1.1911339741393218e-06,0.15125450386410585,within-seed (run jitter)
hpmcounter5,0.00046845872763876087,1.0632076436908466e-05,0.02269586584606681,within-seed (run jitter)
hpmcounter6,0.0133932457849637,0.0002916943207826109,0.02177921061600241,within-seed (run jitter)
hpmcounter7,0.00011519707181206307,5.336937829125096e-07,0.0046328762920571295,within-seed (run jitter)
hpmcounter8,0.010265297784855706,0.0001862077283722612,0.018139534992055627,within-seed (run jitter)
hpmcounter9,0.0005919777722429354,4.15951695544721e-06,0.007026474895649005,within-seed (run jitter)
hpmcounter10,0.01894000661115139,0.0002142550458540677,0.011312300478708378,within-seed (run jitter)
