counter,mode,seed,max_D,threshold,num_windows,num_flagged_windows,exceeds_threshold
hpmcounter8,jump,test_seed_2,114.63827319501608,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_20,92.85195784726224,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_3,64.59916990227238,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_4,113.12780142481546,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_5,89.6201620071812,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_6,63.981945805783006,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_7,148.95623993250047,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_8,99.1917810646464,210.3186740895653,282,0,False
hpmcounter8,jump,test_seed_9,100.34518313848844,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_1,72.96857105291856,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_10,146.68669333957422,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_11,89.95193144575845,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_12,85.21129406430076,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_13,142.89097561185994,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_14,82.17067629685249,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_15,103.36879409842652,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_16,82.21265706244003,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_17,99.74727843016063,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_18,123.8843193917116,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_19,84.0626596126417,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_2,119.1950609861455,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_20,99.86815922839448,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_3,99.9226579990408,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_4,57.50812076003196,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_5,163.8462790539701,210.3186740895653,282,0,False
