counter,mode,seed,num_windows,num_flagged_windows,max_D,threshold,trial_exceeds_threshold
hpmcounter10,drift,test_seed_1,291,0,14.788971791238431,183.2070984550081,False
hpmcounter10,drift,test_seed_10,291,0,16.98211896291644,183.2070984550081,False
hpmcounter10,drift,test_seed_11,291,0,13.047660509262425,183.2070984550081,False
hpmcounter10,drift,test_seed_12,291,0,11.267560961870313,183.2070984550081,False
hpmcounter10,drift,test_seed_13,291,0,16.304270581798296,183.2070984550081,False
hpmcounter10,drift,test_seed_14,291,0,15.50876465383996,183.2070984550081,False
hpmcounter10,drift,test_seed_15,291,0,14.599316302902231,183.2070984550081,False
hpmcounter10,drift,test_seed_16,291,0,14.973835313930506,183.2070984550081,False
hpmcounter10,drift,test_seed_17,291,0,14.71402858085221,183.2070984550081,False
hpmcounter10,drift,test_seed_18,291,0,17.065298106336602,183.2070984550081,False
hpmcounter10,drift,test_seed_19,291,0,10.248226246318026,183.2070984550081,False
hpmcounter10,drift,test_seed_2,291,0,11.403195776563802,183.2070984550081,False
hpmcounter10,drift,test_seed_20,291,0,11.349673602731968,183.2070984550081,False
hpmcounter10,drift,test_seed_3,291,0,14.31200065664697,183.2070984550081,False
hpmcounter10,drift,test_seed_4,291,0,13.41113093162278,183.2070984550081,False
hpmcounter10,drift,test_seed_5,291,0,14.655341933296112,183.2070984550081,False
hpmcounter10,drift,test_seed_6,291,0,36.96780681717127,183.2070984550081,False
hpmcounter10,drift,test_seed_7,291,0,10.175197371073113,183.2070984550081,False
hpmcounter10,drift,test_seed_8,291,0,10.274241286471838,183.2070984550081,False
hpmcounter10,drift,test_seed_9,291,0,14.048646685622668,183.2070984550081,False
hpmcounter10,jump,test_seed_1,291,0,17.357794437830115,183.2070984550081,False
hpmcounter10,jump,test_seed_10,291,0,22.79443495916464,183.2070984550081,False
hpmcounter10,jump,test_seed_11,291,0,14.736253087574765,183.2070984550081,False
hpmcounter10,jump,test_seed_12,291,0,17.219080419345726,183.2070984550081,False
hpmcounter10,jump,test_seed_13,291,0,11.145287712681824,183.2070984550081,False
hpmcounter10,jump,test_seed_14,291,0,14.36149065869328,183.2070984550081,False
hpmcounter10,jump,test_seed_15,291,0,12.625866913914969,183.2070984550081,False
hpmcounter10,jump,test_seed_16,291,0,21.680558521218256,183.2070984550081,False
hpmcounter10,jump,test_seed_17,291,0,13.859314863687782,183.2070984550081,False
hpmcounter10,jump,test_seed_18,291,0,16.56300777025205,183.2070984550081,False
hpmcounter10,jump,test_seed_19,291,0,12.579372364933466,183.2070984550081,False
hpmcounter10,jump,test_seed_2,291,0,13.67434278158658,183.2070984550081,False
hpmcounter10,jump,test_seed_20,291,0,17.63109129501054,183.2070984550081,False
hpmcounter10,jump,test_seed_3,291,0,14.709406277963462,183.2070984550081,False
hpmcounter10,jump,test_seed_4,291,0,22.844682161819108,183.2070984550081,False
hpmcounter10,jump,test_seed_5,291,0,16.455669353157607,183.2070984550081,False
hpmcounter10,jump,test_seed_6,291,0,12.490528620501507,183.2070984550081,False
hpmcounter10,jump,test_seed_7,291,0,20.327650939252397,183.2070984550081,False
hpmcounter10,jump,test_seed_8,291,0,21.963102832765653,183.2070984550081,False
hpmcounter10,jump,test_seed_9,291,0,18.030738332585848,183.2070984550081,False
hpmcounter10,normal,test_seed_1,291,0,17.434886400087724,183.2070984550081,False
hpmcounter10,normal,test_seed_10,291,0,11.487857482004292,183.2070984550081,False
hpmcounter10,normal,test_seed_11,291,0,23.270982942316497,183.2070984550081,False
hpmcounter10,normal,test_seed_12,291,0,14.16637121618368,183.2070984550081,False
hpmcounter10,normal,test_seed_13,291,0,15.813287045744586,183.2070984550081,False
hpmcounter10,normal,test_seed_14,291,0,10.355289153288162,183.2070984550081,False
