counter,mode,mean,std
hpmcounter10,drift,0.00029848209604170885,0.0014454533756348043
hpmcounter10,jump,3.108632074823979e-05,0.0012925687260548389
hpmcounter10,normal,-8.394435320469018e-18,0.0034047638768080783
hpmcounter10,replay,-7.25957215079611e-05,0.001375881132135321
hpmcounter3,drift,0.0005513542764439037,0.0012125462427311187
hpmcounter3,jump,0.0001020999936814487,0.0010163017182793668
hpmcounter3,normal,-1.8810907692623503e-18,0.0012069988265612265
hpmcounter3,replay,0.00010080801451480661,0.0012741184463517829
hpmcounter4,drift,-9.756914485235278e-05,0.00021519655981591543
hpmcounter4,jump,-7.090604736095115e-05,0.0002538460480290583
hpmcounter4,normal,2.95648379909641e-17,0.0006971015722883096
hpmcounter4,replay,-7.07718141151684e-05,0.00022830502865728565
hpmcounter5,drift,-0.0006718673093858499,0.0021177802881328332
hpmcounter5,jump,-0.0033788443348166082,0.0017253436712334686
hpmcounter5,normal,-1.0191500421363742e-17,0.003375735721788519
hpmcounter5,replay,-0.0005829852260492427,0.0012133463651961684
hpmcounter6,drift,0.00030466763465726327,0.0014386311273919545
hpmcounter6,jump,3.5627456849433076e-05,0.0013263999394771918
hpmcounter6,normal,-5.204170427930421e-19,0.00340176420426705
hpmcounter6,replay,-6.291980788378493e-05,0.0013686743609052495
hpmcounter7,drift,0.0002642843012713878,0.0014414701764856608
hpmcounter7,jump,2.0532446014272667e-05,0.0013378636189804196
hpmcounter7,normal,-7.367153762039003e-18,0.0033867442019032057
hpmcounter7,replay,-9.253795128563011e-05,0.0013706131391569656
hpmcounter8,drift,0.0002911760125099036,0.0014524867981645017
hpmcounter8,jump,7.115262244554094e-05,0.0012896507523540122
hpmcounter8,normal,4.255493527005605e-18,0.0034181637601873286
hpmcounter8,replay,-4.918652777448946e-05,0.0013214623250977448
hpmcounter9,drift,0.00030229914185821356,0.0014387056324101704
hpmcounter9,jump,3.9891544818078186e-05,0.0013048340692853333
hpmcounter9,normal,-2.8297676701871667e-18,0.0034062884702904636
hpmcounter9,replay,-6.38562133622708e-05,0.001365062523754316
