t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
37,0,14.338791,0.000000,0.000000,0,0,22.614819,1,4180460.2430,851789.9645,4726027.2946,4180457.6008,851785.1018,4726024.1926,14.6156
38,0,6.231713,0.000000,0.000000,0,0,22.599026,1,4180459.0973,851789.3584,4726028.7148,4180456.8706,851784.9530,4726024.8607,5.9089
39,0,3.497201,0.000000,0.000000,0,0,22.588247,1,4180458.1365,851789.4073,4726029.5722,4180456.1405,851784.8043,4726025.5289,4.9353
40,0,13.466424,0.000000,0.000000,0,0,22.581332,1,4180456.0916,851787.6168,4726031.0193,4180455.4104,851784.6555,4726026.1970,10.7275
41,0,4.563060,0.000000,0.000000,0,0,22.577332,1,4180455.8169,851787.9324,4726031.7533,4180454.6803,851784.5067,4726026.8652,6.4674
42,0,14.360647,0.000000,0.000000,0,0,22.575473,1,4180455.1050,851785.7465,4726033.9824,4180453.9501,851784.3580,4726027.5333,15.9750
43,0,20.198175,0.000000,0.000000,0,0,22.575131,1,4180453.3555,851786.1584,4726032.6999,4180453.2200,851784.2092,4726028.2015,13.8072
44,0,10.245378,0.000000,0.000000,0,0,22.575809,1,4180451.9409,851785.7153,4726032.4781,4180452.4899,851784.0604,4726028.8696,5.8528
45,0,4.909783,0.000000,0.000000,0,0,22.577119,1,4180450.5656,851785.9882,4726033.7669,4180451.7598,851783.9117,4726029.5378,8.6723
46,0,14.058300,0.000000,0.000000,0,0,22.578766,1,4180450.2663,851785.0987,4726033.0018,4180451.0296,851783.7629,4726030.2059,8.9893
47,0,5.573428,0.000000,0.000000,0,0,22.580527,1,4180449.1408,851784.1183,4726033.3851,4180450.2995,851783.6141,4726030.8740,3.7981
48,0,12.032014,0.000000,0.000000,0,0,22.582243,1,4180449.2026,851783.5566,4726032.7643,4180449.5694,851783.4654,4726031.5422,9.0689
49,0,7.053151,0.000000,0.000000,0,0,22.583807,1,4180447.9307,851784.3773,4726033.4977,4180448.8393,851783.3166,4726032.2103,7.2653
50,0,4.936740,0.000000,0.000000,0,0,22.585148,1,4180447.4967,851784.2065,4726034.7982,4180448.1091,851783.1678,4726032.8785,6.0441
51,0,7.875620,0.000000,0.000000,0,0,22.586231,1,4180446.9554,851784.8659,4726036.3481,4180447.3790,851783.0191,4726033.5466,9.9666
52,0,30.111351,0.000000,0.000000,0,0,22.587040,1,4180443.6934,851784.2560,4726040.6680,4180446.6489,851782.8703,4726034.2148,32.8358
53,0,5.169951,0.000000,0.000000,0,0,22.587581,1,4180442.1015,851783.9339,4726042.2453,4180445.9187,851782.7215,4726034.8829,12.5974
54,0,21.669666,0.000000,0.000000,0,0,22.587869,1,4180441.7879,851784.7364,4726040.6283,4180445.1886,851782.5728,4726035.5511,14.4038
55,0,13.420951,0.000000,0.000000,0,0,22.587929,1,4180440.3215,851784.0602,4726039.8464,4180444.4585,851782.4240,4726036.2192,9.8146
56,0,1.878406,0.000000,0.000000,0,0,22.587793,1,4180439.1127,851784.1234,4726040.4906,4180443.7284,851782.2752,4726036.8874,6.6761
57,0,6.414263,0.000000,0.000000,0,0,22.587491,1,4180438.9644,851783.2814,4726041.1224,4180442.9982,851782.1265,4726037.5555,3.3315
58,0,6.178119,0.000000,0.000000,0,0,22.587057,1,4180438.6666,851782.2130,4726042.0797,4180442.2681,851781.9777,4726038.2237,6.3318
59,0,6.376202,0.000000,0.000000,0,0,22.586521,1,4180438.7917,851781.9782,4726043.2514,4180441.5380,851781.8289,4726038.8918,7.2093
60,0,10.150658,0.000000,0.000000,0,0,22.585914,1,4180437.5041,851781.5584,4726042.7702,4180440.8079,851781.6802,4726039.5600,7.6682
61,0,20.748122,0.000000,0.000000,0,0,22.585261,1,4180438.4896,851781.7698,4726045.8482,4180440.0777,851781.5314,4726040.2281,22.3405
62,0,19.327805,0.000000,0.000000,0,0,22.584586,1,4180439.5305,851781.1599,4726044.5155,4180439.3476,851781.3826,4726040.8963,13.6058
63,0,5.722659,0.000000,0.000000,0,0,22.583908,1,4180439.4028,851780.6838,4726044.5467,4180438.6175,851781.2339,4726041.5644,3.2195
64,0,7.459717,0.000000,0.000000,0,0,22.583243,1,4180437.7943,851781.0529,4726045.0733,4180437.8873,851781.0851,4726042.2326,6.3783
65,0,12.143863,0.000000,0.000000,0,0,22.582603,1,4180437.5783,851781.1194,4726044.1727,4180437.1572,851780.9363,4726042.9007,9.3831
66,0,14.078833,0.000000,0.000000,0,0,22.582000,1,4180434.9032,851780.6443,4726043.7362,4180436.4271,851780.7876,4726043.5689,12.9454
67,0,5.239124,0.000000,0.000000,0,0,22.581439,1,4180433.9555,851781.3224,4726044.0914,4180435.6970,851780.6388,4726044.2370,5.5700
68,0,11.794495,0.000000,0.000000,0,0,22.580924,1,4180434.8789,851781.2199,4726045.5187,4180434.9668,851780.4900,4726044.9052,10.2519
