t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
34,0,4.708285,0.756772,2.403108,0,0,15.034658,1,4180458.0456,851787.3296,4726022.9864,4180459.7911,851785.5481,4726022.1881,6.5391,1.000000
35,0,3.292477,0.368354,1.535826,0,0,14.652104,1,4180456.9322,851787.0510,4726023.5519,4180459.0610,851785.3993,4726022.8563,4.6675,1.000000
36,0,6.212518,1.366030,1.641563,0,0,14.289178,1,4180456.5013,851786.4540,4726024.3101,4180458.3309,851785.2506,4726023.5244,3.8945,1.000000
37,0,8.376718,2.019471,1.693410,0,0,13.944402,1,4180455.7840,851786.9961,4726024.5637,4180457.6008,851785.1018,4726024.1926,9.0633,1.000000
38,0,14.279901,3.980700,1.977735,0,0,13.616446,1,4180455.7863,851786.6545,4726026.1904,4180456.8706,851784.9530,4726024.8607,13.3383,1.000000
39,0,13.537672,6.701864,2.432362,0,0,13.304107,1,4180456.2267,851786.1851,4726026.8717,4180456.1405,851784.8043,4726025.5289,12.1455,1.000000
40,0,9.838435,2.183467,2.490250,0,0,13.006297,1,4180455.0607,851785.5859,4726026.9440,4180455.4104,851784.6555,4726026.1970,8.1857,1.000000
41,0,9.295130,1.221542,2.085028,0,0,12.722026,1,4180454.3869,851785.7673,4726028.2798,4180454.6803,851784.5067,4726026.8652,10.3176,1.000000
42,0,16.492749,2.654447,2.137590,0,0,12.450395,1,4180453.4491,851785.5729,4726027.6266,4180453.9501,851784.3580,4726027.5333,15.1566,1.000000
43,0,11.868209,1.807348,2.305999,0,0,12.190583,1,4180452.9959,851785.2127,4726027.3773,4180453.2200,851784.2092,4726028.2015,11.4868,1.000000
44,0,4.411559,0.617645,2.292087,0,0,11.941839,1,4180451.9600,851785.2194,4726028.1256,4180452.4899,851784.0604,4726028.8696,4.8385,1.000000
