counter,mode,seed,alpha,beta,residual_mean,residual_std
hpmcounter3,normal,test_seed_1,-0.41038037291322743,0.0024427058015735084,2.8690299467976556e-16,0.04359271053805234
hpmcounter3,normal,test_seed_10,1.3919018576982018,-0.001143609510499731,-2.8079867564402584e-16,0.03079047060810279
hpmcounter3,normal,test_seed_11,0.5051328285245912,0.0005278268495359339,-1.0224734384863984e-16,0.047314280136430305
hpmcounter3,normal,test_seed_12,-1.9572871846764488,0.0006229797948046414,1.3582109854520816e-16,0.020288786235062087
hpmcounter3,normal,test_seed_13,-0.1272662510300448,-3.4400107874879278e-06,1.3734717830414308e-17,0.03987546460799343
hpmcounter3,normal,test_seed_14,0.42863426000776805,-0.0006866354537932104,-7.630398794674615e-17,0.046403548054692476
hpmcounter3,normal,test_seed_15,0.31864994642651384,0.0001347561351300209,-9.022946574702733e-17,0.02335798669859483
hpmcounter3,normal,test_seed_16,0.8492146122458205,0.001744033169926346,-2.617226786573393e-16,0.03858423647550557
hpmcounter3,normal,test_seed_17,-1.5262872782741448,-0.0002693530814706456,2.5485531974213214e-16,0.02959552900770717
hpmcounter3,normal,test_seed_18,0.9425299625171474,0.0006278486420046602,-2.0411316775754595e-16,0.025497039782187095
hpmcounter3,normal,test_seed_19,1.3244189106968887,-0.0019797158798580488,-2.6210419859707304e-16,0.03849914816471304
hpmcounter3,normal,test_seed_2,-0.210760652500584,-0.0001847937517184236,5.493887132165723e-17,0.07224788864367175
hpmcounter3,normal,test_seed_20,-1.0681844320295455,-0.0010108624501280528,-9.309086529503031e-17,0.025002944162999325
hpmcounter3,normal,test_seed_3,0.19301532336477592,-0.0016159876847291188,-6.562142963420169e-17,0.053642481038261206
hpmcounter3,normal,test_seed_4,0.8514820809895671,-0.0021269247835586963,-2.38068442393848e-16,0.046604404531651704
hpmcounter3,normal,test_seed_5,0.8047824615405273,0.001651836204229393,-8.317134686195331e-17,0.06429297445427479
hpmcounter3,normal,test_seed_6,-1.6962374300754182,1.4460473579794673e-05,5.318387959888207e-16,0.03826790852326959
hpmcounter3,normal,test_seed_7,0.02842828278169449,0.0009054120568498538,5.493887132165723e-17,0.09865936091086369
hpmcounter3,normal,test_seed_8,0.7860208969786454,7.328050450308818e-05,-5.2649751683254844e-17,0.04174905072784298
hpmcounter3,normal,test_seed_9,-1.4278078222727228,0.0002761829744061374,1.823665311927233e-16,0.036172953584472166
hpmcounter3,drift,test_seed_1,0.37605419921866823,0.0023694993148987344,4.402740104527253e-16,0.03921733971343259
hpmcounter3,drift,test_seed_10,-0.07167394990547883,0.000568015080730926,5.493887132165723e-17,0.09209865661087926
