counter,mode,seed,window_end_sample_index,beta_local,D,threshold,exceeds_threshold
hpmcounter3,drift,test_seed_6,89,-0.0049984779555473,236.19585167510172,189.48440654417075,True
hpmcounter5,drift,test_seed_11,228,-0.0119851011377057,135.51297501683104,119.89820685930462,True
hpmcounter5,drift,test_seed_11,229,-0.0121921546689805,122.46710490640342,119.89820685930462,True
hpmcounter5,jump,test_seed_9,135,-0.0189357043504887,123.12887042596331,119.89820685930462,True
hpmcounter6,drift,test_seed_1,233,0.0057919228504128,164.8017499023881,163.2210751778113,True
hpmcounter6,drift,test_seed_15,94,-0.0142862075283504,163.5363953966635,163.2210751778113,True
hpmcounter6,jump,test_seed_16,225,-0.007738518786492,180.5829900483101,163.2210751778113,True
hpmcounter6,replay,test_seed_5,186,-0.0073906273708543,246.39839043069065,163.2210751778113,True
hpmcounter6,replay,test_seed_5,185,-0.007364653801652,240.3511183131575,163.2210751778113,True
hpmcounter6,replay,test_seed_5,187,-0.0073746322033139,218.18226998079285,163.2210751778113,True
hpmcounter6,replay,test_seed_5,188,-0.0073435920193107,214.93642038674548,163.2210751778113,True
hpmcounter6,replay,test_seed_5,189,-0.0073522881125539,202.43639422330824,163.2210751778113,True
