counter,seed,max_D,num_windows
hpmcounter7,test_seed_2,47.887575238592326,282
hpmcounter7,test_seed_20,71.34251349187416,282
hpmcounter7,test_seed_3,44.721497139462045,282
hpmcounter7,test_seed_4,49.62584315504726,282
hpmcounter7,test_seed_5,177.51449420013554,282
hpmcounter7,test_seed_6,65.34011555109976,282
hpmcounter7,test_seed_7,126.91103414824569,282
hpmcounter7,test_seed_8,96.77365554358859,282
hpmcounter7,test_seed_9,46.41876602271958,282
hpmcounter8,test_seed_1,77.84081002701498,282
hpmcounter8,test_seed_10,87.0959634402209,282
hpmcounter8,test_seed_11,157.54778936742179,282
hpmcounter8,test_seed_12,118.75476132656439,282
hpmcounter8,test_seed_13,116.78409520880703,282
hpmcounter8,test_seed_14,120.40492390627598,282
hpmcounter8,test_seed_15,74.4587492267787,282
hpmcounter8,test_seed_16,99.64265725672799,282
hpmcounter8,test_seed_17,94.08280958835789,282
hpmcounter8,test_seed_18,83.33126790514314,282
hpmcounter8,test_seed_19,213.9448156893411,282
hpmcounter8,test_seed_2,111.78236794872284,282
hpmcounter8,test_seed_20,96.37444728450234,282
hpmcounter8,test_seed_3,164.29600944231368,282
hpmcounter8,test_seed_4,73.71232695757189,282
hpmcounter8,test_seed_5,210.1278245316823,282
hpmcounter8,test_seed_6,94.9747934795883,282
hpmcounter8,test_seed_7,126.98296312312313,282
hpmcounter8,test_seed_8,95.65324296771735,282
hpmcounter8,test_seed_9,45.3824373746247,282
hpmcounter9,test_seed_1,103.16982040580449,282
hpmcounter9,test_seed_10,52.406036735898546,282
hpmcounter9,test_seed_11,179.08798520052494,282
hpmcounter9,test_seed_12,70.79810285564741,282
hpmcounter9,test_seed_13,63.11843887531429,282
hpmcounter9,test_seed_14,74.25859770794291,282
hpmcounter9,test_seed_15,50.539803410954804,282
hpmcounter9,test_seed_16,61.605761079889284,282
hpmcounter9,test_seed_17,58.576390325996066,282
hpmcounter9,test_seed_18,61.01134582902333,282
hpmcounter9,test_seed_19,84.46385168825202,282
hpmcounter9,test_seed_2,103.72833477420333,282
hpmcounter9,test_seed_20,75.57440909837041,282
hpmcounter9,test_seed_3,99.91057973649598,282
hpmcounter9,test_seed_4,45.18070743998461,282
hpmcounter9,test_seed_5,164.4062874963665,282
hpmcounter9,test_seed_6,97.31453751664111,282
hpmcounter9,test_seed_7,68.74172405257025,282
hpmcounter9,test_seed_8,90.99860978616493,282
hpmcounter9,test_seed_9,95.38705294612183,282
