counter,mode,seed,alpha,beta,W,sigma_eps2,SE_beta,D
hpmcounter10,drift,test_seed_10,-0.989038849563332,0.0046783884193746,291.0,0.009224800785266747,6.702428688026211e-05,69.80139046809212
hpmcounter10,drift,test_seed_18,-0.6559920020572457,0.0019190620911358,291.0,0.0022500401423149316,3.31015886169159e-05,57.97492420515136
hpmcounter10,drift,test_seed_14,-0.9110640770774876,0.0018463172867681,291.0,0.0152979218060261,8.631175001134515e-05,21.391262331321204
hpmcounter10,drift,test_seed_1,-0.7909849074353124,0.0015653771295702,291.0,0.011784896171157072,7.575592129192286e-05,20.663429377857774
hpmcounter10,drift,test_seed_15,-0.8127116384060025,-0.0010245554732636,291.0,0.0058714793763593575,5.347212872879507e-05,19.16055144279062
hpmcounter10,drift,test_seed_4,-0.5516214704172869,-0.0014264264580037,291.0,0.013297582404605638,8.047112057721738e-05,17.725942521639787
hpmcounter10,drift,test_seed_2,-0.7658451981853442,0.0008399387732271,291.0,0.004955192549488924,4.9122897018420705e-05,17.098722270230304
hpmcounter10,drift,test_seed_16,0.2449143592705685,-0.0018249379914221,291.0,0.031951073140188975,0.0001247373256336285,14.630247860068813
hpmcounter10,drift,test_seed_6,-0.4078492576801079,0.0005020971305043,291.0,0.004021102149771142,4.425132272019515e-05,11.346488638974762
hpmcounter10,drift,test_seed_8,-0.3489787106596455,0.0008816660143203,291.0,0.012752103562227453,7.88033389786281e-05,11.188180929229569
hpmcounter10,drift,test_seed_20,0.535567307120408,-0.0009338792345181,291.0,0.016323757545580797,8.91587090651252e-05,10.47434674986104
hpmcounter10,drift,test_seed_9,-0.3302149763974964,-0.0006131769895366,291.0,0.013711665401795069,8.171443972012312e-05,7.5039000651141725
hpmcounter10,drift,test_seed_13,-0.17455037327789,0.0005371211839603,291.0,0.011648833015300999,7.531732962833668e-05,7.131442214040188
hpmcounter10,drift,test_seed_12,-0.0115999684827141,-0.0003931734770055,291.0,0.006670801609729461,5.699578194859985e-05,6.898290778080265
hpmcounter10,drift,test_seed_19,-0.246935682678244,-0.0002754006319529,291.0,0.0037951609271358305,4.299013430717415e-05,6.406135649288759
hpmcounter10,drift,test_seed_3,-0.546545493824117,-0.0002604353228381,291.0,0.005317188560007591,5.088558066549277e-05,5.118057403139942
hpmcounter10,drift,test_seed_5,-0.190810506659351,-0.0001351372412525,291.0,0.002649128916519827,3.5917429704534496e-05,3.7624418663632615
hpmcounter10,drift,test_seed_11,-0.4312068912292099,0.0001591814628623,291.0,0.006178391784932535,5.485186848337534e-05,2.9020244389768632
hpmcounter10,drift,test_seed_7,-0.3025282494657077,-0.0001335630353197,291.0,0.009503497842620215,6.802921257091093e-05,1.963318848950063
hpmcounter10,drift,test_seed_17,-0.3254789565189912,6.117828422399697e-05,291.0,0.008261305735415623,6.342756678973875e-05,0.9645377762448605
hpmcounter10,jump,test_seed_2,-0.181433730325655,-0.0017787331456172,291.0,0.004248887271506058,4.5487420365655784e-05,39.10384742240056
hpmcounter10,jump,test_seed_17,-0.3929921435929877,0.0028627408273244,291.0,0.01333926524038245,8.059714499013066e-05,35.5191344268454
hpmcounter10,jump,test_seed_19,-0.1206353371888375,-0.0026963436210701,291.0,0.027324443521134615,0.00011535312566618922,23.374690590290754
hpmcounter10,jump,test_seed_4,-0.9240710703540844,0.001819383035013,291.0,0.02311850989443083,0.00010610445596828891,17.147093573117733
hpmcounter10,jump,test_seed_1,0.1515946082639718,-0.0021136790723893,291.0,0.031328828278094974,0.00012351672841029996,17.1124923691959
hpmcounter10,jump,test_seed_9,-0.2147557596357769,0.0011260544914804,291.0,0.010255704756474953,7.067022251464557e-05,15.933931596819841
hpmcounter10,jump,test_seed_18,0.2293795698774279,-0.0008898270998834,291.0,0.006542718631164159,5.644595508057827e-05,15.76423144250364
hpmcounter10,jump,test_seed_20,-0.1125222177331712,0.0009589181854662,291.0,0.011390280667360433,7.447678428710158e-05,12.875397275071021
hpmcounter10,jump,test_seed_14,-0.1315030799816558,-0.0007374015269734,291.0,0.009389925620278062,6.762149684545858e-05,10.90483886594006
hpmcounter10,jump,test_seed_6,-0.113904253682151,0.0004903003186475,291.0,0.0063790927565850085,5.573566182121323e-05,8.796886995264666
hpmcounter10,jump,test_seed_3,-0.8688440857639252,0.0007379699451199,291.0,0.014940898069036113,8.529862987688876e-05,8.651603738360272
hpmcounter10,jump,test_seed_5,-0.0899563542219074,-0.0004303340337685,291.0,0.007295149778401063,5.960336927093718e-05,7.219961539629479
hpmcounter10,jump,test_seed_12,-0.254348760691911,-0.0002997497779334,291.0,0.004750501272528158,4.809760188103167e-05,6.232114829234612
hpmcounter10,jump,test_seed_7,0.0274400335086278,0.0006811375672197,291.0,0.039589232759223596,0.00013884883700267305,4.905605130899203
hpmcounter10,jump,test_seed_13,-0.4683414045403455,0.0001460611260236,291.0,0.0036867917116220395,4.2371906482090425e-05,3.447121882168236
hpmcounter10,jump,test_seed_10,-0.1118517527358309,0.0003557723955188,291.0,0.02192433012288364,0.00010332772565603512,3.443145518397658
hpmcounter10,jump,test_seed_15,-0.675835666905343,0.000269947922111,291.0,0.01686782599360118,9.063235397454462e-05,2.978493995497664
