counter,h_D
hpmcounter10,183.20709845500812
hpmcounter3,189.48440654417075
hpmcounter4,659.7992298804954
hpmcounter5,119.89820685930462
hpmcounter6,163.2210751778113
hpmcounter7,139.97544633174778
hpmcounter8,210.31867408956526
hpmcounter9,165.14037238157442
