counter,mode,seed,exceed_count,cusum_max
hpmcounter4,drift,seed19,4,5.850346324334881
hpmcounter4,drift,seed2,0,0.0
hpmcounter4,drift,seed20,94,154.33287734964594
hpmcounter4,drift,seed3,0,28.416609938446936
hpmcounter4,drift,seed4,0,0.39894691798678883
hpmcounter4,drift,seed5,277,354.36892760148464
hpmcounter4,drift,seed6,0,4.452386349126035
hpmcounter4,drift,seed7,28,43.51445821226269
hpmcounter4,drift,seed8,136,184.29143213517165
hpmcounter4,drift,seed9,0,13.53290375765325
hpmcounter4,jump,seed1,46,78.46926487634133
hpmcounter4,jump,seed10,132,298.36672592018334
hpmcounter4,jump,seed11,145,404.7946753708114
hpmcounter4,jump,seed12,176,536.9987625569404
hpmcounter4,jump,seed13,133,187.0036143737105
hpmcounter4,jump,seed14,138,367.74645285541595
hpmcounter4,jump,seed15,294,1070.2350218265906
hpmcounter4,jump,seed16,138,250.73132227972056
hpmcounter4,jump,seed17,278,507.36202083918437
hpmcounter4,jump,seed18,135,285.4194471412152
hpmcounter4,jump,seed19,142,215.88418621248502
hpmcounter4,jump,seed2,136,207.4137091295219
hpmcounter4,jump,seed20,194,436.0581231809179
hpmcounter4,jump,seed3,137,177.42472558017238
hpmcounter4,jump,seed4,135,324.10997718679516
hpmcounter4,jump,seed5,277,674.0429559631544
hpmcounter4,jump,seed6,143,317.8455283102527
hpmcounter4,jump,seed7,137,169.2704566864036
hpmcounter4,jump,seed8,147,413.363779923008
hpmcounter4,jump,seed9,136,278.9448755006494
hpmcounter4,normal,seed1,0,0.0
hpmcounter4,normal,seed10,0,0.0
hpmcounter4,normal,seed11,0,22.094612257914513
hpmcounter4,normal,seed12,100,99.54805721753985
hpmcounter4,normal,seed13,0,0.0
hpmcounter4,normal,seed14,0,15.188671563359547
hpmcounter4,normal,seed15,294,652.0336446514755
hpmcounter4,normal,seed16,0,0.0
hpmcounter4,normal,seed17,131,175.26522737370564
hpmcounter4,normal,seed18,0,0.0
hpmcounter4,normal,seed19,4,5.850346324334881
hpmcounter4,normal,seed2,0,0.0
hpmcounter4,normal,seed20,49,86.40169167203473
hpmcounter4,normal,seed3,0,0.0
hpmcounter4,normal,seed4,0,0.0
hpmcounter4,normal,seed5,223,249.67427724051004
hpmcounter4,normal,seed6,0,2.6623520563948553
hpmcounter4,normal,seed7,0,0.0
hpmcounter4,normal,seed8,0,7.9269864102615895
hpmcounter4,normal,seed9,0,0.0069205653021781055
hpmcounter5,drift,seed1,23,17.20785238597623
hpmcounter5,drift,seed10,1,0.7187394290110325
hpmcounter5,drift,seed11,142,258.84181634651014
hpmcounter5,drift,seed12,165,244.92521015159076
hpmcounter5,drift,seed13,0,0.043537529281901355
hpmcounter5,drift,seed14,85,77.31767208045
hpmcounter5,drift,seed15,294,568.8401889501894
hpmcounter5,drift,seed16,0,0.24609809920064074
hpmcounter5,drift,seed17,274,319.1180036503315
hpmcounter5,drift,seed18,0,0.0
hpmcounter5,drift,seed19,4,5.534650717901756
hpmcounter5,drift,seed2,1,0.7553791639001872
hpmcounter5,drift,seed20,102,161.3336689178949
hpmcounter5,drift,seed3,0,6.841102526176377
hpmcounter5,drift,seed4,1,1.5725443770647045
hpmcounter5,drift,seed5,273,274.92085962684007
hpmcounter5,drift,seed6,2,45.87671501899566
hpmcounter5,drift,seed7,5,20.942656495450365
hpmcounter5,drift,seed8,146,231.42599429663224
hpmcounter5,drift,seed9,5,33.07297636392523
hpmcounter5,jump,seed1,130,112.637770875895
hpmcounter5,jump,seed10,133,297.6505983631078
hpmcounter5,jump,seed11,157,453.903445390726
hpmcounter5,jump,seed12,173,504.4856955220852
hpmcounter5,jump,seed13,133,196.88277665228858
hpmcounter5,jump,seed14,140,404.27242648703907
hpmcounter5,jump,seed15,295,992.9655156217166
hpmcounter5,jump,seed16,139,243.02991163027582
hpmcounter5,jump,seed17,281,532.4157028412507
hpmcounter5,jump,seed18,136,280.8967373785763
hpmcounter5,jump,seed19,142,167.5604528476687
hpmcounter5,jump,seed2,136,206.07784863683196
hpmcounter5,jump,seed20,189,436.72402361871383
hpmcounter5,jump,seed3,137,173.70021902894223
hpmcounter5,jump,seed4,137,329.7974270789923
hpmcounter5,jump,seed5,273,609.5342917838892
hpmcounter5,jump,seed6,147,354.00354365207374
hpmcounter5,jump,seed7,137,163.8737394758531
hpmcounter5,jump,seed8,155,442.99388053215404
hpmcounter5,jump,seed9,137,289.2835409887141
hpmcounter5,normal,seed1,0,0.24609809920064074
hpmcounter5,normal,seed10,2,2.437515019738493
hpmcounter5,normal,seed11,11,30.913742275128918
hpmcounter5,normal,seed12,94,72.90339442204755
hpmcounter5,normal,seed13,0,0.31361828917355383
hpmcounter5,normal,seed14,81,63.55949796452217
hpmcounter5,normal,seed15,294,592.983044464897
hpmcounter5,normal,seed16,1,1.8973534999551878
hpmcounter5,normal,seed17,135,214.30715008827895
hpmcounter5,normal,seed18,0,0.0
hpmcounter5,normal,seed19,4,5.681643689344454
hpmcounter5,normal,seed2,0,0.0
hpmcounter5,normal,seed20,47,83.26905925614177
hpmcounter5,normal,seed3,0,0.0
hpmcounter5,normal,seed4,1,1.7528816460420904
hpmcounter5,normal,seed5,152,192.68553611959337
hpmcounter5,normal,seed6,2,8.80500292973511
hpmcounter5,normal,seed7,0,0.24609809920064074
hpmcounter5,normal,seed8,13,29.064664438860618
hpmcounter5,normal,seed9,0,0.10805148037138579
hpmcounter6,drift,seed1,0,0.0
hpmcounter6,drift,seed10,0,0.0
hpmcounter6,drift,seed11,299,497.5034944182154
hpmcounter6,drift,seed12,299,212.9223972616018
hpmcounter6,drift,seed13,0,0.0
hpmcounter6,drift,seed14,299,229.6624618002282
hpmcounter6,drift,seed15,0,0.0
hpmcounter6,drift,seed16,0,0.0
hpmcounter6,drift,seed17,299,330.1028490319722
hpmcounter6,drift,seed18,0,0.0
hpmcounter6,drift,seed19,0,0.0
hpmcounter6,drift,seed2,299,296.6227199547221
hpmcounter6,drift,seed20,0,0.0
hpmcounter6,drift,seed3,0,0.0
hpmcounter6,drift,seed4,0,0.0
hpmcounter6,drift,seed5,0,0.0
hpmcounter6,drift,seed6,0,0.0
hpmcounter6,drift,seed7,0,0.0
hpmcounter6,drift,seed8,0,0.0
hpmcounter6,drift,seed9,0,0.0
hpmcounter6,jump,seed1,0,0.0
hpmcounter6,jump,seed10,0,0.0
hpmcounter6,jump,seed11,0,62.261816413984576
hpmcounter6,jump,seed12,0,0.0
hpmcounter6,jump,seed13,0,0.0
hpmcounter6,jump,seed14,0,0.0
hpmcounter6,jump,seed15,299,413.80317172509325
hpmcounter6,jump,seed16,299,564.4637525727119
hpmcounter6,jump,seed17,299,179.44226818435305
hpmcounter6,jump,seed18,299,296.6227199547221
hpmcounter6,jump,seed19,299,664.9041398044506
hpmcounter6,jump,seed2,0,0.0
hpmcounter6,jump,seed20,0,0.0
hpmcounter6,jump,seed3,0,0.0
hpmcounter6,jump,seed4,0,0.0
hpmcounter6,jump,seed5,0,112.4820100298579
hpmcounter6,jump,seed6,0,0.0
hpmcounter6,jump,seed7,0,0.0
hpmcounter6,jump,seed8,0,0.0
hpmcounter6,jump,seed9,0,0.0
hpmcounter6,normal,seed1,0,0.0
hpmcounter6,normal,seed10,299,430.5432362637175
hpmcounter6,normal,seed11,0,0.0
hpmcounter6,normal,seed12,0,0.0
hpmcounter6,normal,seed13,0,0.0
hpmcounter6,normal,seed14,0,0.0
hpmcounter6,normal,seed15,0,0.0
hpmcounter6,normal,seed16,299,330.1028490319722
hpmcounter6,normal,seed17,299,497.5034944182154
hpmcounter6,normal,seed18,0,0.0
hpmcounter6,normal,seed19,0,0.0
hpmcounter6,normal,seed2,0,0.0
hpmcounter6,normal,seed20,0,0.0
hpmcounter6,normal,seed3,0,0.0
hpmcounter6,normal,seed4,0,0.0
hpmcounter6,normal,seed5,0,0.0
hpmcounter6,normal,seed6,0,0.0
hpmcounter6,normal,seed7,0,0.0
hpmcounter6,normal,seed8,0,0.0
hpmcounter6,normal,seed9,0,62.261816413984576
hpmcounter7,drift,seed1,0,0.0
hpmcounter7,drift,seed10,0,0.0
hpmcounter7,drift,seed11,0,0.0
hpmcounter7,drift,seed12,0,0.0
hpmcounter7,drift,seed13,0,0.0
hpmcounter7,drift,seed14,0,0.0
hpmcounter7,drift,seed15,0,0.0
hpmcounter7,drift,seed16,0,0.0
hpmcounter7,drift,seed17,0,0.0
hpmcounter7,drift,seed18,0,0.0
hpmcounter7,drift,seed19,0,0.0
hpmcounter7,drift,seed2,0,0.0
hpmcounter7,drift,seed20,0,0.0
hpmcounter7,drift,seed3,0,0.0
hpmcounter7,drift,seed4,0,0.0
hpmcounter7,drift,seed5,0,0.0
hpmcounter7,drift,seed6,0,0.0
hpmcounter7,drift,seed7,0,0.0
hpmcounter7,drift,seed8,0,0.0
hpmcounter7,drift,seed9,0,0.0
hpmcounter7,jump,seed1,0,0.0
hpmcounter7,jump,seed10,0,0.0
hpmcounter7,jump,seed11,0,0.0
hpmcounter7,jump,seed12,0,0.0
hpmcounter7,jump,seed13,0,0.0
hpmcounter7,jump,seed14,0,0.0
hpmcounter7,jump,seed15,0,0.0
hpmcounter7,jump,seed16,0,0.0
hpmcounter7,jump,seed17,0,0.0
hpmcounter7,jump,seed18,0,0.0
hpmcounter7,jump,seed19,0,0.0
hpmcounter7,jump,seed2,0,0.0
hpmcounter7,jump,seed20,0,0.0
hpmcounter7,jump,seed3,0,0.0
hpmcounter7,jump,seed4,0,0.0
hpmcounter7,jump,seed5,0,0.0
hpmcounter7,jump,seed6,0,0.0
hpmcounter7,jump,seed7,0,0.0
hpmcounter7,jump,seed8,0,0.0
hpmcounter7,jump,seed9,0,0.0
hpmcounter7,normal,seed1,0,0.0
hpmcounter7,normal,seed10,0,0.0
hpmcounter7,normal,seed11,0,0.0
hpmcounter7,normal,seed12,0,0.0
hpmcounter7,normal,seed13,0,0.0
hpmcounter7,normal,seed14,0,0.0
hpmcounter7,normal,seed15,0,0.0
hpmcounter7,normal,seed16,0,0.0
hpmcounter7,normal,seed17,0,0.0
hpmcounter7,normal,seed18,0,0.0
hpmcounter7,normal,seed19,0,0.0
hpmcounter7,normal,seed2,0,0.0
hpmcounter7,normal,seed20,0,0.0
hpmcounter7,normal,seed3,0,0.0
hpmcounter7,normal,seed4,0,0.0
hpmcounter7,normal,seed5,0,0.0
hpmcounter7,normal,seed6,0,0.0
hpmcounter7,normal,seed7,0,0.0
hpmcounter7,normal,seed8,0,0.0
hpmcounter7,normal,seed9,0,0.0
hpmcounter8,drift,seed1,28,18.21728264732972
hpmcounter8,drift,seed10,0,0.0
hpmcounter8,drift,seed11,162,277.49296674022816
hpmcounter8,drift,seed12,214,308.5282996980619
hpmcounter8,drift,seed13,0,0.0
hpmcounter8,drift,seed14,89,76.4978144324574
hpmcounter8,drift,seed15,294,623.5284867033567
hpmcounter8,drift,seed16,0,0.0
hpmcounter8,drift,seed17,267,303.49748075440806
hpmcounter8,drift,seed18,0,0.0
hpmcounter8,drift,seed19,3,5.131030700202423
hpmcounter8,drift,seed2,0,0.00791279075436535
hpmcounter8,drift,seed20,72,73.99839741734432
hpmcounter8,drift,seed3,14,35.345224150812776
hpmcounter8,drift,seed4,1,1.9280820441516549
hpmcounter8,drift,seed5,273,307.5343680078445
hpmcounter8,drift,seed6,0,8.808070164542947
hpmcounter8,drift,seed7,33,50.75861924937031
hpmcounter8,drift,seed8,138,211.72167381575022
hpmcounter8,drift,seed9,0,22.41217321341619
hpmcounter8,jump,seed1,102,94.12713694004599
hpmcounter8,jump,seed10,132,316.72106207862464
hpmcounter8,jump,seed11,178,448.955008721281
hpmcounter8,jump,seed12,223,582.3884042889332
