method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis+PCA5 (raw features, normal-only)",40,3,0,17,0.93,1.0,0.912,1.0,0.964,0.15,0.052,0.36
"lof+PCA5 (raw features, normal-only)",40,2,0,18,0.952,1.0,0.912,1.0,0.976,0.1,0.028,0.301
