mode,seed,counter,z_flag,d_flag,v_flag
drift,seed6,hpmcounter6,False,False,False
drift,seed6,hpmcounter7,False,False,False
drift,seed6,hpmcounter8,False,False,False
drift,seed6,hpmcounter9,False,False,False
drift,seed7,hpmcounter10,False,True,False
drift,seed7,hpmcounter3,False,True,False
drift,seed7,hpmcounter4,False,True,False
drift,seed7,hpmcounter5,False,True,False
drift,seed7,hpmcounter6,False,False,False
drift,seed7,hpmcounter7,False,False,False
drift,seed7,hpmcounter8,False,True,False
drift,seed7,hpmcounter9,True,False,True
drift,seed8,hpmcounter10,False,False,False
drift,seed8,hpmcounter3,False,False,False
drift,seed8,hpmcounter4,False,False,False
drift,seed8,hpmcounter5,False,True,False
drift,seed8,hpmcounter6,False,False,False
drift,seed8,hpmcounter7,False,False,False
drift,seed8,hpmcounter8,False,True,False
drift,seed8,hpmcounter9,False,False,False
drift,seed9,hpmcounter10,False,False,False
drift,seed9,hpmcounter3,False,False,False
drift,seed9,hpmcounter4,False,False,False
drift,seed9,hpmcounter5,False,False,False
drift,seed9,hpmcounter6,False,False,False
drift,seed9,hpmcounter7,False,False,False
drift,seed9,hpmcounter8,False,False,False
drift,seed9,hpmcounter9,False,False,False
jump,seed1,hpmcounter10,False,True,False
jump,seed1,hpmcounter3,False,True,False
jump,seed1,hpmcounter4,False,True,False
jump,seed1,hpmcounter5,False,True,False
jump,seed1,hpmcounter6,False,False,False
jump,seed1,hpmcounter7,False,False,False
jump,seed1,hpmcounter8,False,True,False
jump,seed1,hpmcounter9,False,False,False
jump,seed10,hpmcounter10,False,True,False
jump,seed10,hpmcounter3,False,True,False
jump,seed10,hpmcounter4,True,True,False
jump,seed10,hpmcounter5,False,True,False
jump,seed10,hpmcounter6,False,False,False
jump,seed10,hpmcounter7,False,False,False
jump,seed10,hpmcounter8,False,True,False
jump,seed10,hpmcounter9,False,False,False
jump,seed11,hpmcounter10,True,True,False
jump,seed11,hpmcounter3,True,True,False
jump,seed11,hpmcounter4,True,True,False
jump,seed11,hpmcounter5,True,True,False
jump,seed11,hpmcounter6,False,False,False
jump,seed11,hpmcounter7,False,False,False
jump,seed11,hpmcounter8,True,True,False
jump,seed11,hpmcounter9,False,False,False
jump,seed12,hpmcounter10,True,True,False
jump,seed12,hpmcounter3,True,True,False
jump,seed12,hpmcounter4,True,True,False
jump,seed12,hpmcounter5,True,True,False
jump,seed12,hpmcounter6,False,False,False
jump,seed12,hpmcounter7,False,False,False
jump,seed12,hpmcounter8,True,True,False
jump,seed12,hpmcounter9,False,False,False
jump,seed13,hpmcounter10,False,True,False
jump,seed13,hpmcounter3,False,True,False
jump,seed13,hpmcounter4,False,True,False
jump,seed13,hpmcounter5,False,True,False
jump,seed13,hpmcounter6,False,False,False
jump,seed13,hpmcounter7,False,False,False
jump,seed13,hpmcounter8,False,True,False
jump,seed13,hpmcounter9,True,False,True
jump,seed14,hpmcounter10,True,True,False
jump,seed14,hpmcounter3,True,True,False
jump,seed14,hpmcounter4,True,True,False
jump,seed14,hpmcounter5,True,True,False
jump,seed14,hpmcounter6,False,False,False
jump,seed14,hpmcounter7,False,False,False
jump,seed14,hpmcounter8,True,True,False
jump,seed14,hpmcounter9,True,False,False
jump,seed15,hpmcounter10,True,False,False
jump,seed15,hpmcounter3,True,False,False
jump,seed15,hpmcounter4,True,False,False
jump,seed15,hpmcounter5,True,False,False
jump,seed15,hpmcounter6,False,False,False
jump,seed15,hpmcounter7,False,False,False
jump,seed15,hpmcounter8,True,False,True
jump,seed15,hpmcounter9,False,False,False
jump,seed16,hpmcounter10,False,True,False
jump,seed16,hpmcounter3,False,True,False
jump,seed16,hpmcounter4,False,True,False
jump,seed16,hpmcounter5,False,True,False
jump,seed16,hpmcounter6,True,False,True
jump,seed16,hpmcounter7,False,False,False
jump,seed16,hpmcounter8,False,True,False
jump,seed16,hpmcounter9,True,False,False
jump,seed17,hpmcounter10,True,True,False
jump,seed17,hpmcounter3,False,True,False
jump,seed17,hpmcounter4,True,True,False
