method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis (agreement features, pre-onset-as-normal test)",40,4,0,56,0.909,1.0,0.912,1.0,0.952,0.067,0.026,0.159
"lof (agreement features, pre-onset-as-normal test)",38,6,2,54,0.864,0.95,0.835,0.986,0.905,0.1,0.047,0.201
