counter,H_z_pooled,H_z_trialmax
hpmcounter10,270.2566884403554,323.67076123129806
hpmcounter3,268.6996097738134,356.2394305128064
hpmcounter4,267.49391435350384,360.4425275575655
hpmcounter5,260.0730440687739,323.49526986428396
hpmcounter6,383.7638852366536,548.0613110835066
hpmcounter7,0.0,0.0
hpmcounter8,267.8211716350721,314.19058475948236
hpmcounter9,233.12976382844036,271.88703144304844
