counter,mode,n_runs,n_z_only,n_d_only,n_v_only,n_or,n_majority_2of3,n_and_all3
hpmcounter10,drift,20,0,2,0,2,0,0
hpmcounter10,jump,20,9,0,0,9,0,0
hpmcounter3,drift,20,0,3,1,4,0,0
hpmcounter3,jump,20,8,5,1,13,0,0
hpmcounter4,drift,20,1,3,0,4,0,0
hpmcounter4,jump,20,10,3,0,12,0,0
hpmcounter5,drift,20,2,4,2,6,1,0
hpmcounter5,jump,20,10,6,0,14,1,0
hpmcounter6,drift,20,2,1,0,2,1,0
hpmcounter6,jump,20,3,2,1,4,2,0
hpmcounter7,drift,20,0,0,0,0,0,0
hpmcounter7,jump,20,0,0,0,0,0,0
hpmcounter8,drift,20,0,3,2,4,0,0
hpmcounter8,jump,20,9,8,0,14,0,0
hpmcounter9,drift,20,1,5,2,7,1,0
hpmcounter9,jump,20,5,1,3,6,3,0
