counter,h_count,h_cusum
hpmcounter10,170.50000000000009,226.6251040466529
hpmcounter3,221.80000000000007,265.8520357952963
hpmcounter4,226.55000000000004,269.7922456110586
hpmcounter5,159.1000000000001,233.2409448071101
hpmcounter6,299.0,433.89124917144244
hpmcounter7,0.0,0.0
hpmcounter8,169.5500000000001,221.1392845600629
hpmcounter9,144.3000000000001,195.5820815092497
