counter,attack_type,seed,scenario,TP,FP,FN,TN,n_windows,precision,recall,f1,false_alarm
hpmcounter3,jump,seed3,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed4,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,jump,seed5,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,jump,seed6,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed7,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed8,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,jump,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,jump,seed10,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed11,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,jump,seed12,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,jump,seed13,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,jump,seed14,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,jump,seed15,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed16,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,jump,seed17,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed18,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed19,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,jump,seed20,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,jump,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter3,jump,seed2,II,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter3,jump,seed3,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter3,jump,seed4,II,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter3,jump,seed5,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter3,jump,seed6,II,7,4,142,136,289,0.6364,0.047,0.0875,0.0286
hpmcounter3,jump,seed7,II,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter3,jump,seed8,II,6,1,143,139,289,0.8571,0.0403,0.0769,0.0071
hpmcounter3,jump,seed9,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter3,jump,seed10,II,21,0,128,140,289,1.0,0.1409,0.2471,0.0
hpmcounter3,jump,seed11,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
