counter,h_D,h_z
hpmcounter10,84.3508747346503,3.371985270074431
hpmcounter3,79.59040299140756,3.472024481703315
hpmcounter4,80.60375760222577,3.056121042214088
hpmcounter5,61.044566772570576,3.2658644390604468
hpmcounter6,2.3883789437314306e-08,2.0415600448179876
hpmcounter7,0.0,0.0
hpmcounter8,72.50746867619762,3.3512132658373877
hpmcounter9,41.33984682495464,2.4193325869367333
