method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"isolation_forest (raw features, pre-onset-as-normal test)",1,14,39,46,0.067,0.025,0.004,0.129,0.036,0.233,0.144,0.354
"one_class_svm (raw features, pre-onset-as-normal test)",40,43,0,17,0.482,1.0,0.912,1.0,0.65,0.717,0.592,0.815
"knn_distance_k10 (raw features, pre-onset-as-normal test)",40,27,0,33,0.597,1.0,0.912,1.0,0.748,0.45,0.331,0.575
