counter,h_zV
hpmcounter10,3.925007058692928
hpmcounter3,3.9292665437061713
hpmcounter4,3.9263296001807593
hpmcounter5,3.922131646448248
hpmcounter6,6.724342532785772e-22
hpmcounter7,0.0
hpmcounter8,3.9123608033976214
hpmcounter9,4.149049820723231
