method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis (full-window normal train, pre-onset-as-normal test)",40,35,0,25,0.533,1.0,0.912,1.0,0.696,0.583,0.457,0.699
"lof (full-window normal train, pre-onset-as-normal test)",40,30,0,30,0.571,1.0,0.912,1.0,0.727,0.5,0.377,0.623
