method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"logreg (supervised, raw)",28,3,12,17,0.903,0.7,0.546,0.819,0.789,0.15,0.052,0.36
"random_forest (supervised, raw)",34,5,6,15,0.872,0.85,0.709,0.929,0.861,0.25,0.112,0.469
"mahalanobis (one-class, raw)",20,3,20,17,0.87,0.5,0.352,0.648,0.635,0.15,0.052,0.36
"lof (one-class, raw)",19,2,21,18,0.905,0.475,0.329,0.625,0.623,0.1,0.028,0.301
