method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis+PCA5 (raw features, pre-onset-as-normal test)",40,28,0,32,0.588,1.0,0.912,1.0,0.741,0.467,0.346,0.591
"lof+PCA5 (raw features, pre-onset-as-normal test)",40,26,0,34,0.606,1.0,0.912,1.0,0.755,0.433,0.316,0.559
