counter,mode,seed,exceed_count,cusum_max,h_count,h_cusum,count_flag,cusum_flag,flag_or
hpmcounter10,drift,seed1,27,18.715259740509527,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed10,0,0.0,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed11,153,276.5931090744344,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,drift,seed12,217,312.80503867202617,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,drift,seed13,0,0.0,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed14,86,72.99572409756568,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed15,294,629.0088678997446,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,drift,seed16,0,0.0,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed17,271,312.86710612092827,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,drift,seed18,0,0.0,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed19,3,4.917193990122428,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed2,2,3.0605178091043257,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed20,66,63.390167139567545,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed3,18,36.36831189583587,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed4,0,1.9028889617260767,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed5,273,308.35396283814083,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,drift,seed6,0,6.945741352739847,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed7,34,55.47022671532093,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed8,137,205.98335187529278,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,drift,seed9,0,20.71480285312356,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,jump,seed1,100,93.28995100907893,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,jump,seed10,133,323.660265422424,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed11,169,446.9546231258116,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed12,223,588.7163837947002,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,jump,seed13,134,208.14441415453004,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,jump,seed14,139,398.19710873421,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed15,294,1089.933992652555,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,jump,seed16,141,275.3560873658136,170.50000000000009,226.6251040466529,False,True,True
