method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis (mean-agg, full-window train)",40,6,0,14,0.87,1.0,0.912,1.0,0.93,0.3,0.145,0.519
"lof (mean-agg, full-window train)",37,2,3,18,0.949,0.925,0.801,0.974,0.937,0.1,0.028,0.301
