counter,center,H_d
hpmcounter10,mean,4.248529157249601
hpmcounter10,median,4.2485291572496005
hpmcounter3,mean,4.248518824918483
hpmcounter3,median,4.2485256553619966
hpmcounter4,mean,4.248529157249601
hpmcounter4,median,4.2485291572496005
hpmcounter5,mean,4.193697657290912
hpmcounter5,median,4.208441338123307
hpmcounter8,mean,4.245593302698
hpmcounter8,median,4.247698071973216
hpmcounter9,mean,4.248529157249601
hpmcounter9,median,4.248529157249601
