counter,h_V_pooled,h_V_trialmax
hpmcounter10,2.2616425256585972,3.511871625456591
hpmcounter3,2.2462464175406693,3.262490800809927
hpmcounter4,2.2510975204808292,3.233548230835815
hpmcounter5,2.194754928545604,3.50655098444764
hpmcounter6,1.9559956683149164,1.9559956683148854
hpmcounter7,0.0,0.0
hpmcounter8,2.247837961054074,3.505627909249201
hpmcounter9,1.757414039912214,2.9022182118168054
