counter,H_d
hpmcounter10,4.206698766067397
hpmcounter3,4.2073345804233035
hpmcounter4,4.213586945573645
hpmcounter5,4.2158813279771
hpmcounter8,4.212287848267266
hpmcounter9,4.242358159587027
