counter,H_g
hpmcounter10,4.248468225179092
hpmcounter3,4.247708561600353
hpmcounter4,4.247985663114438
hpmcounter5,4.185498933933202
hpmcounter8,4.24405288859177
hpmcounter9,4.248400834930302
