counter,H_v
hpmcounter10,4.248507279676132
hpmcounter3,4.2484879732938285
hpmcounter4,4.248495475057692
hpmcounter5,4.246604111916747
hpmcounter8,4.248362539368593
hpmcounter9,4.248523880528958
