counter,Qgs
hpmcounter10,3.969700163147365
hpmcounter3,3.969267787047949
hpmcounter4,3.9760725094310776
hpmcounter5,3.828983064605664
hpmcounter8,3.972008243504568
hpmcounter9,3.9254497345127937
