method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis (full-window normal train, post-onset-only test)",40,4,0,16,0.909,1.0,0.912,1.0,0.952,0.2,0.081,0.416
"lof (full-window normal train, post-onset-only test)",40,2,0,18,0.952,1.0,0.912,1.0,0.976,0.1,0.028,0.301
