method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
"mahalanobis (continuous features, pre-onset-as-normal test)",32,13,8,47,0.711,0.8,0.652,0.895,0.753,0.217,0.131,0.336
"lof (continuous features, pre-onset-as-normal test)",31,17,9,43,0.646,0.775,0.625,0.877,0.705,0.283,0.185,0.408
