method,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
logreg (supervised),35,0,5,20,1.0,0.875,0.739,0.945,0.933,0.0,0.0,0.161
random_forest (supervised),39,0,1,20,1.0,0.975,0.871,0.996,0.987,0.0,0.0,0.161
"mahalanobis (one-class, normal-only)",40,6,0,14,0.87,1.0,0.912,1.0,0.93,0.3,0.145,0.519
"lof (one-class, normal-only)",40,2,0,18,0.952,1.0,0.912,1.0,0.976,0.1,0.028,0.301
