counter,H_g
hpmcounter10,4.2463031082132225
hpmcounter3,4.245544210203142
hpmcounter4,4.246068945792727
hpmcounter5,4.1861602643038545
hpmcounter8,4.23370568841908
hpmcounter9,4.2479651655446595
