t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
47,0,11.162996,2.375012,2.360917,0,0,22.580527,1,4180448.1770,851781.9841,4726031.4550,4180450.2995,851783.6141,4726030.8740,10.1581
48,0,5.388742,0.878988,2.218320,0,0,22.582243,1,4180447.5815,851782.7382,4726032.2198,4180449.5694,851783.4654,4726031.5422,4.3112
49,0,9.838613,1.090241,2.200552,0,0,22.583807,1,4180446.5792,851783.1748,4726033.9677,4180448.8393,851783.3166,4726032.2103,10.6684
50,0,6.238618,0.524969,2.085889,0,0,22.585148,1,4180446.1011,851782.7755,4726033.8271,4180448.1091,851783.1678,4726032.8785,4.5689
51,0,12.171063,2.449727,1.893827,0,0,22.586231,1,4180446.4696,851783.2750,4726033.0404,4180447.3790,851783.0191,4726033.5466,10.4927
52,0,7.825343,0.918802,1.737401,0,0,22.587040,1,4180446.3338,851782.7779,4726032.5990,4180446.6489,851782.8703,4726034.2148,8.1059
53,0,9.261610,2.186548,1.520085,0,0,22.587581,1,4180446.9137,851783.4817,4726032.2837,4180445.9187,851782.7215,4726034.8829,10.3835
54,0,3.902509,0.214561,1.478788,0,0,22.587869,1,4180446.2985,851783.8016,4726032.1674,4180445.1886,851782.5728,4726035.5511,6.8801
55,0,14.411138,2.021272,1.403929,0,0,22.587929,1,4180445.4685,851784.2096,4726030.6091,4180444.4585,851782.4240,4726036.2192,18.2108
56,0,11.274491,1.196057,1.385618,0,0,22.587793,1,4180445.0335,851784.6100,4726032.2569,4180443.7284,851782.2752,4726036.8874,6.4621
57,0,9.058137,2.450877,1.393204,0,0,22.587491,1,4180443.0382,851784.5545,4726032.0606,4180442.9982,851782.1265,4726037.5555,11.0495
58,0,8.535636,0.833029,1.388608,0,0,22.587057,1,4180442.8827,851784.7262,4726033.3742,4180442.2681,851781.9777,4726038.2237,4.6847
59,0,15.658656,3.580879,1.637672,0,0,22.586521,1,4180441.4531,851783.7611,4726035.5094,4180441.5380,851781.8289,4726038.8918,9.8144
60,0,9.794887,1.348173,1.719993,0,0,22.585914,1,4180439.9617,851783.8406,4726037.1101,4180440.8079,851781.6802,4726039.5600,7.2456
61,0,10.205202,3.256080,1.800628,0,0,22.585261,1,4180439.1044,851785.6055,4726038.0759,4180440.0777,851781.5314,4726040.2281,12.0740
62,0,27.483189,15.385719,3.247320,1,0,22.584586,1,4180440.4605,851783.1687,4726035.9762,4180439.3476,851781.3826,4726040.8963,26.8368
63,0,4.388986,0.542875,3.082952,0,0,22.583908,1,4180440.5569,851783.3359,4726036.6266,4180438.6175,851781.2339,4726041.5644,6.6308
64,0,12.018144,4.861774,3.547674,0,0,22.583243,1,4180439.6189,851781.1639,4726036.8784,4180437.8873,851781.0851,4726042.2326,11.4093
65,0,16.175122,3.598404,3.705387,0,0,22.582603,1,4180437.7941,851780.7089,4726039.1751,4180437.1572,851780.9363,4726042.9007,10.3170
66,0,3.841162,0.258050,3.611586,0,0,22.582000,1,4180437.0475,851780.8313,4726039.2844,4180436.4271,851780.7876,4726043.5689,7.2294
67,0,3.343337,0.311211,3.397619,0,0,22.581439,1,4180435.8552,851780.7022,4726039.9909,4180435.6970,851780.6388,4726044.2370,3.6071
68,0,24.510595,6.734352,3.987752,0,0,22.580924,1,4180436.2450,851779.6831,4726043.5723,4180434.9668,851780.4900,4726044.9052,20.4143
69,0,10.978037,3.038661,3.933530,0,0,22.580460,1,4180434.4879,851780.5112,4726043.4439,4180434.2367,851780.3413,4726045.5733,10.5779
70,0,10.078434,2.502753,4.048988,0,0,22.580045,1,4180435.2064,851780.4184,4726044.9135,4180433.5066,851780.1925,4726046.2414,9.1787
71,0,9.921831,1.241460,3.847526,0,0,22.579679,1,4180434.9617,851779.6245,4726044.4272,4180432.7764,851780.0437,4726046.9096,11.5108
72,0,14.821993,6.944566,3.003411,0,0,22.579361,1,4180432.1453,851780.5790,4726044.4754,4180432.0463,851779.8950,4726047.5777,13.7237
73,0,23.276975,5.032510,3.452374,0,0,22.579087,1,4180430.8220,851780.2977,4726048.1104,4180431.3162,851779.7462,4726048.2459,20.1074
74,0,8.995579,2.346961,3.200893,0,0,22.578854,1,4180428.5317,851780.2817,4726048.3957,4180430.5861,851779.5974,4726048.9140,9.5871
75,0,11.462401,4.131354,3.254188,0,0,22.578659,1,4180428.4535,851778.3953,4726048.6968,4180429.8559,851779.4487,4726049.5822,10.1884
76,0,19.898332,6.358117,3.864194,0,0,22.578498,1,4180428.6105,851779.7237,4726051.6480,4180429.1258,851779.2999,4726050.2503,18.2589
77,0,4.601197,0.531372,3.886210,0,0,22.578366,1,4180427.1554,851779.5542,4726052.1832,4180428.3957,851779.1511,4726050.9185,4.4219
78,0,11.209559,3.322444,3.545020,0,0,22.578261,1,4180425.3040,851778.0312,4726053.8570,4180427.6655,851779.0024,4726051.5866,12.5108
79,0,10.363345,1.315893,3.372743,0,0,22.578178,1,4180425.0443,851777.8207,4726056.0527,4180426.9354,851778.8536,4726052.2548,12.2403
80,0,6.287798,0.929187,3.215386,0,0,22.578114,1,4180423.6251,851778.2336,4726056.5346,4180426.2053,851778.7048,4726052.9229,5.6594
81,0,4.443384,0.551585,3.146399,0,0,22.578065,1,4180423.1411,851778.5681,4726057.2272,4180425.4752,851778.5561,4726053.5911,3.0319
82,0,15.980934,2.666632,2.718605,0,0,22.578030,1,4180422.9450,851778.6554,4726060.2235,4180424.7450,851778.4073,4726054.2592,19.4763
83,0,4.814275,0.782356,2.293590,0,0,22.578006,1,4180422.1852,851779.3963,4726061.2838,4180424.0149,851778.2585,4726054.9273,8.0651
84,0,15.604800,2.339043,2.292798,0,0,22.577989,1,4180421.4006,851779.8506,4726060.3565,4180423.2848,851778.1098,4726055.5955,9.6140
85,0,13.950977,4.114310,2.291094,0,0,22.577980,1,4180421.9970,851778.7812,4726060.0003,4180422.5546,851777.9610,4726056.2636,8.6048
86,0,6.462567,0.752124,1.730495,0,0,22.577975,1,4180421.7090,851779.2788,4726061.5415,4180421.8245,851777.8122,4726056.9318,10.1137
87,0,15.318396,2.747262,1.952084,0,0,22.577974,1,4180421.8892,851778.7658,4726060.5516,4180421.0944,851777.6635,4726057.5999,10.6028
