counter,threshold,mean_max_D,std_max_D,min_max_D,max_max_D,n_trials
hpmcounter10,183.20709845500812,101.31040166331479,46.90628737876652,55.90389154895037,236.31335484677146,20
hpmcounter3,189.48440654417075,109.28488849619143,47.55367456542782,54.40154445957827,217.45002603352606,20
hpmcounter4,659.7992298804954,250.5956014481153,213.31527069162465,76.40195796573849,989.9654125550804,20
hpmcounter5,119.89820685930462,63.43165723360617,32.61877078913589,33.96245472337095,169.90422757172468,20
hpmcounter6,163.2210751778113,105.3676291885645,36.15718556659667,51.84451920980561,179.36692447986348,20
hpmcounter7,139.97544633174778,73.28663577955699,40.54827766962238,29.265044328488404,177.51449420013554,20
hpmcounter8,210.31867408956526,113.15875280262503,43.748827851019115,45.3824373746247,213.9448156893411,20
hpmcounter9,165.14037238157442,85.01391884810835,34.91522040791736,45.18070743998461,179.08798520052494,20
