HPM3 configured with 
mask 0x40001
HPM4 configured with mask 0x1000000
HPM5 configured with mask 0x2001
HPM6 configured with mask 0x0201
HPM7 configured with mask 0x0101
HPM8 configured with mask 0x2000
HPM9 configured with mask 0x8001
HPM10 configured with mask 0x0100
Start
Stop
DIAG_START
DIAG:74,0,4.553432,0.682101,2.968665,0,0,7.509924,1,4180430.6050,851780.3651,4726051.5225,4180430.5861,851779.5974,4726048.9140,3.5461,1.000000
DIAG:75,0,12.814784,2.977181,3.108000,0,0,7.422657,1,4180429.5336,851780.2951,4726051.7231,4180429.8559,851779.4487,4726049.5822,10.8297,1.000000
DIAG:76,0,7.706916,0.873684,2.963353,0,0,7.337772,1,4180428.7082,851780.2688,4726052.7635,4180429.1258,851779.2999,4726050.2503,10.0514,1.000000
DIAG:77,0,13.240464,4.623910,3.107371,0,0,7.255184,1,4180427.7429,851780.5700,4726053.0798,4180428.3957,851779.1511,4726050.9185,12.6787,1.000000
DIAG:78,0,5.876401,1.314872,2.968982,0,0,7.174815,1,4180427.2506,851780.5864,4726053.7885,4180427.6655,851779.0024,4726051.5866,6.7139,1.000000
DIAG:79,0,10.041207,2.574310,3.174149,0,0,7.096589,1,4180426.5826,851780.8067,4726054.7998,4180426.9354,851778.8536,4726052.2548,12.6779,1.000000
DIAG:80,0,15.183740,5.900413,3.298412,0,0,7.020433,1,4180425.9824,851780.1165,4726055.0508,4180426.2053,851778.7048,4726052.9229,11.9989,1.000000
DIAG:81,0,13.180241,2.706573,3.277858,0,0,6.946280,1,4180425.5534,851779.9405,4726055.2258,4180425.4752,851778.5561,4726053.5911,11.2227,1.000000
DIAG:82,0,6.813775,0.997722,2.559439,0,0,6.874063,1,4180424.6742,851779.6441,4726056.1485,4180424.7450,851778.4073,4726054.2592,7.7286,1.000000
DIAG:83,0,10.947718,1.666655,2.431742,0,0,6.803720,1,4180424.0477,851779.6644,4726056.3984,4180424.0149,851778.2585,4726054.9273,9.7655,1.000000
DIAG:84,0,7.696239,1.687551,2.532287,0,0,6.735192,1,4180423.5565,851779.3182,4726056.8918,4180423.2848,851778.1098,4726055.5955,6.2879,1.000000
DIAG:85,0,8.851348,2.783292,2.512898,0,0,6.668422,1,4180423.2279,851779.1148,4726057.4600,4180422.5546,851777.9610,4726056.2636,8.7848,1.000000
DIAG:86,0,14.806973,2.457716,2.671301,0,0,6.603354,1,4180422.4311,851778.8073,4726058.7575,4180421.8245,851777.8122,4726056.9318,15.7474,1.000000
DIAG:87,0,6.782787,1.758943,2.384805,0,0,6.539938,1,4180422.0054,851778.7605,4726059.4536,4180421.0944,851777.6635,4726057.5999,7.9760,1.000000
DIAG:88,0,5.240622,0.850360,2.338354,0,0,6.478124,1,4180421.4936,851778.5305,4726060.2622,4180420.3642,851777.5147,4726058.2681,6.9145,1.000000
DIAG:89,0,14.490584,2.045965,2.285519,0,0,6.417862,1,4180420.8292,851778.3422,4726061.5647,4180419.6341,851777.3659,4726058.9362,16.6122,1.000000
DIAG:90,0,23.760082,7.975865,2.493064,0,0,6.359109,1,4180420.4667,851778.4343,4726061.3837,4180418.9040,851777.2172,4726059.6044,22.0644,1.000000
DIAG:91,0,10.134824,2.789572,2.501364,0,0,6.301820,1,4180420.1064,851778.3802,4726061.8240,4180418.1739,851777.0684,4726060.2725,10.8120,1.000000
DIAG:92,0,11.274164,1.899678,2.591560,0,0,6.245954,1,4180419.3197,851778.4176,4726062.9264,4180417.4437,851776.9196,4726060.9406,13.0553,1.000000
DIAG:93,0,2.995929,0.264714,2.451366,0,0,6.191468,1,4180418.7267,851778.2267,4726063.5617,4180416.7136,851776.7709,4726061.6088,4.3476,1.000000
DIAG:94,0,11.328248,1.466561,2.429267,0,0,6.138326,1,4180418.1243,851777.9862,4726063.8282,4180415.9835,851776.6221,4726062.2769,9.9079,1.000000
DIAG:95,0,5.946669,1.267908,2.277728,0,0,6.086490,1,4180417.2077,851777.7369,4726064.5890,4180415.2533,851776.4733,4726062.9451,4.6107,1.000000
DIAG:96,0,12.731901,5.940721,2.626029,0,0,6.035924,1,4180416.9182,851777.2239,4726065.4046,4180414.5232,851776.3246,4726063.6132,14.0638,1.000000
DIAG:97,0,12.087799,1.659915,2.616126,0,0,5.986593,1,4180416.1107,851777.0785,4726066.5539,4180413.7931,851776.1758,4726064.2814,13.6303,1.000000
DIAG:98,0,8.928146,1.272122,2.658302,0,0,5.938465,1,4180415.5879,851776.8330,4726066.9567,4180413.0629,851776.0270,4726064.9495,8.3809,1.000000
DIAG:99,0,14.077150,4.478467,2.901552,0,0,5.891507,1,4180414.5085,851776.6070,4726068.0513,4180412.3328,851775.8783,4726065.6176,14.2148,1.059261
DIAG:100,0,6.457791,0.990841,2.203050,0,0,5.845689,1,4180413.6674,851776.5452,4726068.9326,4180411.6027,851775.7295,4726066.2858,8.0176,1.000000
DIAG:101,0,6.013455,0.967067,2.020800,0,0,5.800981,1,4180412.9672,851776.5579,4726069.5041,4180410.8725,851775.5807,4726066.9539,5.8835,1.000000
DIAG:102,0,11.418178,3.725980,2.203430,0,0,5.757355,1,4180412.0133,851776.1008,4726070.4609,4180410.1424,851775.4320,4726067.6221,11.7250,1.000000
DIAG:103,0,6.958054,1.001849,2.277143,0,0,5.714782,1,4180411.1631,851775.8287,4726071.3714,4180409.4123,851775.2832,4726068.2902,8.6775,1.000000
DIAG:104,0,10.721029,4.057732,2.536260,0,0,5.673237,1,4180410.2317,851775.9813,4726072.2121,4180408.6821,851775.1344,4726068.9584,11.7596,1.000000
DIAG:105,0,9.492742,1.837303,2.593200,0,0,5.632693,1,4180409.3603,851775.6383,4726073.1974,4180407.9520,851774.9857,4726069.6265,11.5750,1.000000
DIAG:106,0,9.017921,2.762617,2.275390,0,0,5.593126,1,4180408.3592,851775.3000,4726073.7875,4180407.2219,851774.8369,4726070.2946,6.7318,1.000000
DIAG:107,0,0.503579,0.006553,2.110053,0,0,5.554512,1,4180407.6442,851775.0990,4726074.5133,4180406.4917,851774.6881,4726070.9628,4.0033,1.000000
DIAG:108,0,9.587989,1.174010,2.100242,0,0,5.516826,1,4180406.8168,851774.8769,4726075.5462,4180405.7616,851774.5394,4726071.6309,12.7960,1.000000
DIAG:109,0,13.598888,2.108749,1.863270,0,0,5.480047,1,4180406.1927,851774.5976,4726076.7253,4180405.0315,851774.3906,4726072.2991,17.5922,1.000000
DIAG:110,0,11.357359,4.824872,2.246673,0,0,5.444153,1,4180405.0488,851774.4308,4726077.5261,4180404.3014,851774.2418,4726072.9672,11.9962,1.000000
DIAG:111,0,9.412735,1.345501,2.284517,0,0,5.409123,1,4180404.4936,851774.2735,4726077.9600,4180403.5712,851774.0931,4726073.6354,6.2251,1.000000
