t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
1,0,7.291018,0.000000,0.000000,0,0,63.640557,1,4180482.5916,851788.1127,4725999.6345,4180483.8852,851790.4574,4726000.1391,6.6733
2,0,6.000236,0.000000,0.000000,0,0,73.262077,1,4180479.6509,851784.8244,4726000.6365,4180483.1551,851790.3086,4726000.8072,9.0389
3,0,14.473162,0.000000,0.000000,0,0,75.251973,1,4180480.6923,851788.2734,4725997.7624,4180482.4250,851790.1598,4726001.4754,9.5627
4,0,10.387135,0.000000,0.000000,0,0,71.458623,1,4180480.7967,851788.8979,4725993.1361,4180481.6948,851790.0111,4726002.1435,15.0618
5,0,35.423445,0.000000,0.000000,0,0,65.644287,1,4180481.8028,851790.1039,4726005.1463,4180480.9647,851789.8623,4726002.8117,24.0955
6,0,9.552865,0.000000,0.000000,0,0,59.749003,1,4180481.4540,851789.8232,4726009.7870,4180480.2346,851789.7135,4726003.4798,12.3904
7,0,11.873222,0.000000,0.000000,0,0,54.435752,1,4180480.9466,851791.5751,4726007.8861,4180479.5045,851789.5648,4726004.1480,5.9168
8,0,3.715084,0.000000,0.000000,0,0,49.837005,1,4180480.3858,851792.9183,4726009.9554,4180478.7744,851789.4160,4726004.8161,8.7118
9,0,9.872756,0.000000,0.000000,0,0,45.907336,1,4180479.6169,851790.4169,4726010.9220,4180478.0442,851789.2672,4726005.4843,7.0370
10,0,4.723783,0.000000,0.000000,0,0,42.555987,1,4180478.7679,851791.2170,4726011.1887,4180477.3141,851789.1185,4726006.1525,4.2190
11,0,5.821167,0.000000,0.000000,0,0,39.691521,1,4180479.3537,851790.6910,4726011.4992,4180476.5840,851788.9697,4726006.8206,5.8094
12,0,11.784727,0.000000,0.000000,0,0,37.234593,1,4180479.0726,851788.8722,4726010.4625,4180475.8539,851788.8209,4726007.4888,7.5353
13,0,12.266710,0.000000,0.000000,0,0,35.119808,1,4180477.2233,851791.2307,4726010.4428,4180475.1237,851788.6722,4726008.1569,10.2558
14,0,5.318100,0.000000,0.000000,0,0,33.294196,1,4180476.9514,851791.4683,4726010.1555,4180474.3936,851788.5234,4726008.8251,5.3024
15,0,11.993091,0.000000,0.000000,0,0,31.714948,1,4180474.0756,851792.0133,4726009.7840,4180473.6635,851788.3746,4726009.4932,9.9991
16,0,11.943177,0.000000,0.000000,0,0,30.347273,1,4180474.0484,851789.9348,4726009.5274,4180472.9334,851788.2259,4726010.1614,8.6408
17,0,14.305345,0.000000,0.000000,0,0,29.162617,1,4180474.4762,851791.0525,4726007.8464,4180472.2032,851788.0771,4726010.8295,16.1346
18,0,14.375015,0.000000,0.000000,0,0,28.137250,1,4180472.0578,851790.4500,4726010.0690,4180471.4731,851787.9283,4726011.4977,9.8738
