t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
34,0,12.125790,2.994287,4.463832,0,1,55.653547,1,4180458.6589,851788.2882,4726024.3642,4180459.7911,851785.5481,4726022.1881,11.2648,1.000000
35,0,11.201818,1.345089,4.475782,0,1,85.159297,1,4180454.9590,851787.0404,4726030.6777,4180459.0610,851785.3993,4726022.8563,13.6606,3.249924
36,0,10.417089,0.864554,4.036830,0,0,76.068018,1,4180452.6533,851786.5617,4726026.6178,4180458.3309,851785.2506,4726023.5244,7.2816,1.659696
37,0,19.357419,9.989170,4.257095,0,0,53.504086,1,4180458.0764,851786.7741,4726024.9940,4180457.6008,851785.1018,4726024.1926,12.8283,1.000000
38,0,10.079206,2.562937,4.138542,0,0,42.245896,1,4180456.4684,851788.9416,4726024.2912,4180456.8706,851784.9530,4726024.8607,11.0125,1.000000
39,0,17.037540,9.341499,4.782176,0,1,35.650735,1,4180458.6404,851786.0835,4726024.7303,4180456.1405,851784.8043,4726025.5289,14.1660,1.000000
40,0,5.880852,0.895280,4.813096,0,1,78.050043,1,4180456.1567,851783.5145,4726024.9374,4180455.4104,851784.6555,4726026.1970,3.8533,4.015832
41,0,13.219383,1.393604,4.628639,0,1,79.791906,1,4180457.0096,851782.2300,4726018.9945,4180454.6803,851784.5067,4726026.8652,14.8826,1.871577
42,0,11.339049,3.650455,3.390749,0,0,57.825312,1,4180458.1597,851785.7398,4726019.8897,4180453.9501,851784.3580,4726027.5333,12.2988,1.000000
43,0,23.965765,9.203985,4.224086,0,0,47.586883,1,4180456.8434,851781.1576,4726025.9168,4180453.2200,851784.2092,4726028.2015,16.9909,1.000000
44,0,26.680962,8.115023,4.736160,0,1,42.146836,1,4180453.3669,851780.8767,4726033.2102,4180452.4899,851784.0604,4726028.8696,23.4727,1.000000
45,0,17.339265,3.319613,4.933612,0,1,72.495908,1,4180449.1622,851782.2444,4726027.5706,4180451.7598,851783.9117,4726029.5378,12.0745,2.572947
46,0,8.812257,1.562446,5.003401,0,1,72.043205,1,4180445.0382,851780.1385,4726030.5680,4180451.0296,851783.7629,4726030.2059,11.2226,1.443503
47,0,7.347277,0.429423,4.047426,0,0,61.009602,1,4180443.5854,851780.1214,4726034.2458,4180450.2995,851783.6141,4726030.8740,10.4856,1.070282
48,0,13.885420,2.702739,4.061407,0,0,52.961361,1,4180444.4033,851778.7676,4726039.3821,4180449.5694,851783.4654,4726031.5422,16.9187,1.000000
49,0,23.754732,8.830436,4.010300,0,0,48.290922,1,4180445.2164,851782.1761,4726035.3755,4180448.8393,851783.3166,4726032.2103,12.5712,1.000000
50,0,24.911970,9.234610,4.844233,0,1,45.192141,1,4180448.0334,851780.5072,4726030.4616,4180448.1091,851783.1678,4726032.8785,20.4258,1.000000
51,0,6.481394,0.385668,4.743440,0,1,84.548635,1,4180446.4244,851780.8779,4726033.8774,4180447.3790,851783.0191,4726033.5466,4.0233,3.083175
52,0,14.909344,2.094980,4.587892,0,1,87.169773,1,4180444.8298,851783.8603,4726042.0438,4180446.6489,851782.8703,4726034.2148,14.6447,1.747852
53,0,14.895597,2.837347,3.951229,0,0,79.396578,1,4180443.4660,851780.0178,4726037.4854,4180445.9187,851782.7215,4726034.8829,8.2394,1.375736
54,0,11.542166,3.085527,3.448279,0,0,63.496821,1,4180445.4474,851782.6337,4726035.9563,4180445.1886,851782.5728,4726035.5511,6.8956,1.000000
55,0,11.379959,1.595519,3.275870,0,0,55.349105,1,4180443.1531,851782.6921,4726039.9085,4180444.4585,851782.4240,4726036.2192,11.2756,1.000000
56,0,6.736001,1.335437,3.253169,0,0,50.433364,1,4180441.7772,851784.8434,4726040.4758,4180443.7284,851782.2752,4726036.8874,8.0812,1.000000
57,0,12.626979,2.395352,3.449762,0,0,47.023618,1,4180442.1137,851783.4198,4726044.5216,4180442.9982,851782.1265,4726037.5555,14.6542,1.000000
58,0,9.072165,2.529091,3.432397,0,0,44.358413,1,4180441.8419,851781.0088,4726046.1965,4180442.2681,851781.9777,4726038.2237,11.4188,1.000000
59,0,9.524193,1.834188,2.732772,0,0,42.085862,1,4180440.8181,851782.6436,4726045.8190,4180441.5380,851781.8289,4726038.8918,6.3669,1.000000
60,0,12.185735,1.306851,1.939996,0,0,40.043557,1,4180439.5725,851782.7040,4726043.8813,4180440.8079,851781.6802,4726039.5600,5.5159,1.000000
61,0,5.301083,0.425042,1.943934,0,0,38.158218,1,4180438.1714,851782.5225,4726045.7704,4180440.0777,851781.5314,4726040.2281,9.7342,1.000000
62,0,11.342771,1.243094,1.858745,0,0,36.397527,1,4180437.9855,851782.2087,4726044.0787,4180439.3476,851781.3826,4726040.8963,5.2129,1.000000
63,0,8.340463,1.066476,1.681658,0,0,34.747014,1,4180438.2790,851782.3330,4726046.3026,4180438.6175,851781.2339,4726041.5644,10.7376,1.000000
64,0,22.686018,6.707461,2.043851,0,0,33.199278,1,4180438.1596,851784.4621,4726042.6656,4180437.8873,851781.0851,4726042.2326,19.1075,1.000000
65,0,9.440956,0.758896,1.960189,0,0,31.749238,1,4180437.4816,851784.4953,4726044.9928,4180437.1572,851780.9363,4726042.9007,9.9647,1.000000
66,0,12.851669,5.405319,2.367177,0,0,30.392228,1,4180435.2830,851782.6976,4726045.1516,4180436.4271,851780.7876,4726043.5689,9.6196,1.000000
67,0,18.065399,4.211736,2.548815,0,0,29.123380,1,4180435.8400,851783.4160,4726042.5284,4180435.6970,851780.6388,4726044.2370,16.9420,1.000000
68,0,4.291704,0.418739,2.337780,0,0,27.937548,1,4180435.3325,851784.0630,4726043.3068,4180434.9668,851780.4900,4726044.9052,6.2542,1.000000
69,0,14.352619,3.853660,2.539727,0,0,26.829412,1,4180433.7447,851782.8849,4726041.6346,4180434.2367,851780.3413,4726045.5733,14.4126,1.000000
70,0,7.725806,2.031366,2.612179,0,0,25.793627,1,4180434.2062,851782.2488,4726041.8752,4180433.5066,851780.1925,4726046.2414,7.4609,1.000000
71,0,6.899874,1.246245,2.694299,0,0,24.824958,1,4180432.7772,851781.7781,4726041.3914,4180432.7764,851780.0437,4726046.9096,9.7370,1.000000
72,0,6.618674,1.061491,2.676139,0,0,23.918376,1,4180431.3587,851781.4264,4726042.1647,4180432.0463,851779.8950,4726047.5777,5.0983,1.000000
73,0,18.605163,3.278450,2.897336,0,0,23.069120,1,4180431.1420,851781.2427,4726045.1189,4180431.3162,851779.7462,4726048.2459,12.6827,1.000000
74,0,6.177220,0.332759,2.259866,0,0,22.272735,1,4180430.4833,851781.1460,4726046.3602,4180430.5861,851779.5974,4726048.9140,3.1142,1.000000
75,0,6.474830,1.310799,2.315056,0,0,21.525084,1,4180429.2628,851781.7100,4726046.3960,4180429.8559,851779.4487,4726049.5822,9.0301,1.000000
76,0,13.422032,3.415502,2.116075,0,0,20.822353,1,4180427.5563,851782.2246,4726048.2130,4180429.1258,851779.2999,4726050.2503,12.3529,1.000000
77,0,12.633148,1.541121,1.849013,0,0,20.161035,1,4180426.6495,851782.4607,4726050.3239,4180428.3957,851779.1511,4726050.9185,11.6557,1.000000
78,0,11.110039,4.141896,2.221329,0,0,19.537923,1,4180426.5955,851781.2565,4726051.2440,4180427.6655,851779.0024,4726051.5866,7.1946,1.000000
79,0,8.126108,1.727356,2.008698,0,0,18.950081,1,4180425.3593,851780.5217,4726051.1954,4180426.9354,851778.8536,4726052.2548,7.8409,1.000000
