iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11da70,0x9d8bc,0x80008be8,0x26,0x0,0x681d,0x50706,0x0,0x25e00,0x21e8,0x13c1
1,0x13536e,0xb4ab9,0x80008be8,0x235f,0xb,0x74e2,0x5070e,0x0,0x313e3,0x21ef,0x1588
2,0x14cb9d,0xcbcc5,0x80008be8,0x4698,0x16,0x81be,0x50716,0x0,0x3c9be,0x21f2,0x174f
3,0x164389,0xe2e24,0x80008be8,0x69d0,0x21,0x8e69,0x5071e,0x0,0x47f1d,0x21f5,0x1916
4,0x17bb6e,0xf9fdc,0x80008be8,0x8d0b,0x2c,0x9b23,0x50724,0x0,0x534c6,0x21f8,0x1add
5,0x193367,0x1111e6,0x80008be8,0xb044,0x37,0xa7f3,0x5072a,0x0,0x5eaab,0x21fb,0x1ca4
6,0x1aab9c,0x1283c7,0x80008be8,0xd37c,0x42,0xb4ac,0x50730,0x0,0x6a07e,0x21fe,0x1e6b
7,0x1c22d5,0x13f536,0x80008be8,0xf6b2,0x4d,0xc152,0x50736,0x0,0x755f2,0x2201,0x2032
8,0x1d9a6b,0x1566f5,0x80008be8,0x119e8,0x58,0xcdfe,0x5073c,0x0,0x80bb0,0x2204,0x21f9
9,0x1f118a,0x16d836,0x80008be8,0x13d1e,0x63,0xdaa1,0x50742,0x0,0x8c0f9,0x2207,0x23c0
10,0x208937,0x1849c3,0x80008be8,0x16054,0x6e,0xe747,0x50748,0x0,0x9768b,0x220a,0x2587
11,0x220062,0x19bb0b,0x80008be8,0x18392,0x79,0xf3db,0x50750,0x0,0xa2be8,0x220d,0x274f
12,0x237853,0x1b2ce5,0x80008be8,0x1a6d4,0x84,0x1008b,0x50758,0x0,0xae1bb,0x2210,0x2917
13,0x24efbf,0x1c9e71,0x80008be8,0x1ca14,0x8f,0x10d44,0x50760,0x0,0xb9737,0x2213,0x2adf
14,0x266765,0x1e106c,0x80008be8,0x1ed54,0x9a,0x119fa,0x50766,0x0,0xc4d25,0x2216,0x2ca7
15,0x27df03,0x1f81c9,0x80008be8,0x21096,0xa5,0x1269a,0x5076c,0x0,0xd028b,0x2219,0x2e6f
16,0x29569c,0x20f326,0x80008be8,0x233d8,0xb0,0x1333b,0x50772,0x0,0xdb7f0,0x221c,0x3037
17,0x2ace65,0x2264de,0x80008be8,0x2571a,0xbb,0x13fff,0x50778,0x0,0xe6d8d,0x221f,0x31ff
18,0x2c46a0,0x23d6b3,0x80008be8,0x27a56,0xc6,0x14ccd,0x5077e,0x0,0xf233d,0x2222,0x33c7
19,0x2dbe97,0x2548e8,0x80008be8,0x29d96,0xd1,0x159c5,0x50784,0x0,0xfd923,0x2225,0x358f
20,0x2f3742,0x26bac4,0x80008be8,0x2c0d8,0xdc,0x166a1,0x5078a,0x0,0x108ecc,0x2228,0x3757
21,0x30af4d,0x282c96,0x80008be8,0x2e41a,0xe7,0x1736d,0x50792,0x0,0x11447b,0x222c,0x391f
22,0x3226a3,0x299de0,0x80008be8,0x3075a,0xf2,0x1801e,0x5079a,0x0,0x11f9bd,0x222f,0x3ae7
23,0x339e04,0x2b0f42,0x80008be8,0x32a9c,0xfd,0x18cb4,0x507a2,0x0,0x12af32,0x2232,0x3caf
24,0x35154b,0x2c80b9,0x80008be8,0x34ddd,0x108,0x19957,0x507a8,0x0,0x1364af,0x2235,0x3e77
25,0x368c85,0x2df223,0x80008be8,0x3711b,0x113,0x1a5ec,0x507ae,0x0,0x141a2d,0x2238,0x403f
26,0x38040b,0x2f6390,0x80008be8,0x39458,0x11e,0x1b2af,0x507b4,0x0,0x14cf80,0x223b,0x4207
27,0x397b4e,0x30d4f4,0x80008be8,0x3b796,0x129,0x1bf43,0x507ba,0x0,0x1584f9,0x223e,0x43cf
28,0x3af29c,0x324630,0x80008be8,0x3dad8,0x134,0x1cbdf,0x507c0,0x0,0x163a42,0x2241,0x4597
29,0x3c6a9e,0x33b7e7,0x80008be8,0x3fe18,0x13f,0x1d89e,0x507c6,0x0,0x16efe3,0x2244,0x475f
30,0x3de28f,0x352a09,0x80008be8,0x42155,0x14a,0x1e571,0x507cc,0x0,0x17a5db,0x2247,0x4927
31,0x3f5a57,0x369bc7,0x80008be8,0x44493,0x155,0x1f22f,0x507d4,0x0,0x185b84,0x224a,0x4aef
32,0x40d194,0x380d07,0x80008be8,0x467d1,0x160,0x1fec0,0x507dc,0x0,0x1910dc,0x224d,0x4cb7
33,0x42496a,0x397ef9,0x80008be8,0x48b11,0x16b,0x20b8e,0x507e4,0x0,0x19c6a9,0x2250,0x4e7f
