t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
37,0,6.470600,0.754565,2.544675,0,0,48.607496,1,4180454.4625,851785.8530,4726022.0273,4180457.6008,851785.1018,4726024.1926,5.2108
38,0,15.894185,3.336458,2.697979,0,0,48.607525,1,4180455.9475,851787.6122,4726026.3100,4180456.8706,851784.9530,4726024.8607,13.2688
39,0,20.574124,4.233277,2.783996,0,0,48.607573,1,4180453.4131,851787.7705,4726022.1502,4180456.1405,851784.8043,4726025.5289,19.0908
40,0,6.888736,1.324624,2.693563,0,0,48.607622,1,4180453.5572,851790.2875,4726022.9415,4180455.4104,851784.6555,4726026.1970,9.7943
41,0,6.817402,1.067632,2.465155,0,0,48.607663,1,4180452.9581,851789.0072,4726024.3294,4180454.6803,851784.5067,4726026.8652,2.0409
42,0,16.164754,3.766829,2.352765,0,0,48.607692,1,4180453.0155,851786.1707,4726028.5221,4180453.9501,851784.3580,4726027.5333,11.4618
43,0,5.961563,0.981588,2.051390,0,0,48.607711,1,4180454.4293,851784.8384,4726030.0995,4180453.2200,851784.2092,4726028.2015,5.5491
44,0,5.372921,0.799484,1.966091,0,0,48.607720,1,4180454.9129,851786.0413,4726031.6951,4180452.4899,851784.0604,4726028.8696,7.2732
45,0,14.473484,1.876901,1.969064,0,0,48.607722,1,4180455.0945,851784.6755,4726029.1225,4180451.7598,851783.9117,4726029.5378,11.3212
46,0,13.044393,2.756877,2.089823,0,0,48.607720,1,4180452.8123,851785.8943,4726032.5395,4180451.0296,851783.7629,4726030.2059,11.3002
47,0,5.227980,0.801224,2.094489,0,0,48.607716,1,4180451.9060,851783.9966,4726033.7125,4180450.2995,851783.6141,4726030.8740,4.2486
48,0,13.770161,3.376289,2.098472,0,0,48.607712,1,4180453.7285,851785.9370,4726032.0714,4180449.5694,851783.4654,4726031.5422,12.7186
49,0,16.307144,4.777081,2.152853,0,0,48.607707,1,4180451.8856,851782.4087,4726029.5167,4180448.8393,851783.3166,4726032.2103,13.4790
50,0,13.177007,1.549395,2.175330,0,0,48.607703,1,4180450.6008,851782.2532,4726033.1600,4180448.1091,851783.1678,4726032.8785,9.6942
51,0,14.507294,2.617455,2.330312,0,0,48.607700,1,4180451.3381,851783.6438,4726037.3590,4180447.3790,851783.0191,4726033.5466,15.2243
52,0,9.491837,2.640865,2.217716,0,0,48.607698,1,4180448.4646,851781.2226,4726038.7804,4180446.6489,851782.8703,4726034.2148,8.0246
53,0,20.781896,6.693093,2.788866,0,0,48.607697,1,4180451.8160,851781.9798,4726035.5369,4180445.9187,851782.7215,4726034.8829,17.7544
54,0,14.627769,3.732287,3.082147,0,0,48.607696,1,4180449.9026,851784.5393,4726033.1526,4180445.1886,851782.5728,4726035.5511,12.6200
55,0,16.647298,2.847152,3.179172,0,0,48.607695,1,4180449.1472,851782.8627,4726037.5116,4180444.4585,851782.4240,4726036.2192,13.6925
56,0,18.660706,2.787325,3.182217,0,0,48.607695,1,4180448.3149,851783.1078,4726043.3298,4180443.7284,851782.2752,4726036.8874,20.4391
57,0,13.820300,2.911975,3.393292,0,0,48.607695,1,4180445.3133,851781.4806,4726047.9367,4180442.9982,851782.1265,4726037.5555,18.9733
58,0,18.155633,6.505889,3.706252,0,0,48.607695,1,4180441.9393,851785.3654,4726046.6871,4180442.2681,851781.9777,4726038.2237,11.8424
59,0,9.847058,1.466158,3.375159,0,0,48.607695,1,4180438.9056,851784.4360,4726046.0416,4180441.5380,851781.8289,4726038.8918,5.3452
60,0,6.972962,1.216515,3.341871,0,0,48.607696,1,4180438.7303,851783.2362,4726048.0803,4180440.8079,851781.6802,4726039.5600,10.9014
61,0,15.310351,3.896169,3.469743,0,0,48.607696,1,4180434.0562,851781.5604,4726046.2031,4180440.0777,851781.5314,4726040.2281,12.2110
62,0,21.464740,11.593286,4.364985,1,0,48.607696,1,4180437.8217,851777.6183,4726044.4388,4180439.3476,851781.3826,4726040.8963,13.9138
63,0,5.310456,0.619515,3.757627,0,0,48.607696,1,4180435.4738,851776.9426,4726045.6950,4180438.6175,851781.2339,4726041.5644,9.2052
64,0,16.947249,6.289799,4.013378,0,0,48.607696,1,4180436.3055,851780.3292,4726043.5272,4180437.8873,851781.0851,4726042.2326,9.5923
65,0,10.990215,2.070899,3.935753,0,0,48.607696,1,4180436.6084,851782.5964,4726045.8916,4180437.1572,851780.9363,4726042.9007,10.8554
66,0,12.576321,1.533095,3.810330,0,0,48.607696,1,4180435.5998,851784.2471,4726043.1004,4180436.4271,851780.7876,4726043.5689,10.9534
67,0,10.367827,3.160088,3.835141,0,0,48.607696,1,4180438.4807,851783.6677,4726043.0719,4180435.6970,851780.6388,4726044.2370,9.1196
68,0,19.437226,3.095908,3.494143,0,0,48.607696,1,4180437.7948,851784.3156,4726048.2605,4180434.9668,851780.4900,4726044.9052,17.9759
69,0,7.937992,1.728922,3.520420,0,0,48.607696,1,4180436.2307,851782.5163,4726049.6926,4180434.2367,851780.3413,4726045.5733,6.1875
70,0,13.306364,4.856861,3.884454,0,0,48.607696,1,4180433.4358,851778.5959,4726051.6683,4180433.5066,851780.1925,4726046.2414,12.6805
71,0,18.028804,3.986738,3.893511,0,0,48.607696,1,4180431.9299,851780.5747,4726048.3649,4180432.7764,851780.0437,4726046.9096,11.8639
72,0,13.363018,5.246473,3.258830,0,0,48.607696,1,4180426.0821,851780.6730,4726048.8414,4180432.0463,851779.8950,4726047.5777,14.6324
73,0,15.604615,7.062777,3.903156,0,0,48.607696,1,4180429.5059,851781.1705,4726049.8007,4180431.3162,851779.7462,4726048.2459,8.9728
74,0,5.977608,1.043021,3.378478,0,0,48.607696,1,4180430.3886,851779.9216,4726050.1182,4180430.5861,851779.5974,4726048.9140,3.5461
75,0,11.570156,2.175523,3.388941,0,0,48.607696,1,4180427.4450,851780.4947,4726048.1190,4180429.8559,851779.4487,4726049.5822,10.8297
76,0,11.487086,1.168354,3.352467,0,0,48.607696,1,4180426.5854,851781.2570,4726051.2269,4180429.1258,851779.2999,4726050.2503,10.0514
77,0,10.586416,2.308011,3.267259,0,0,48.607696,1,4180424.7853,851784.1653,4726049.9365,4180428.3957,851779.1511,4726050.9185,12.6787
78,0,9.065855,2.131820,3.170850,0,0,48.607696,1,4180426.5785,851784.4738,4726051.1779,4180427.6655,851779.0024,4726051.5866,6.7139
79,0,10.102999,1.029828,3.100941,0,0,48.607696,1,4180426.6874,851786.0854,4726054.1828,4180426.9354,851778.8536,4726052.2548,12.6779
