t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
35,0,9.107011,2.459666,3.081941,0,0,14.652104,1,4180459.9697,851788.6279,4726021.3532,4180459.0610,851785.3993,4726022.8563,10.4198,2.214063
36,0,5.406898,0.690898,2.852173,0,0,14.289178,1,4180459.6608,851788.2987,4726022.4354,4180458.3309,851785.2506,4726023.5244,4.4611,1.711696
37,0,15.595720,2.707448,2.949980,0,0,13.944402,1,4180458.6751,851788.2413,4726024.5470,4180457.6008,851785.1018,4726024.1926,14.6156,1.377982
38,0,6.150930,0.635488,2.839188,0,0,13.616446,1,4180457.8622,851787.9718,4726025.8149,4180456.8706,851784.9530,4726024.8607,5.9089,2.218086
39,0,2.119354,0.139001,2.837512,0,0,13.304107,1,4180457.1432,851788.0406,4726026.7257,4180456.1405,851784.8043,4726025.5289,4.9353,2.028986
40,0,12.685831,5.064206,2.654622,0,0,13.006297,1,4180455.8749,851787.1826,4726028.0227,4180455.4104,851784.6555,4726026.1970,10.7275,2.071999
41,0,3.649280,0.488664,2.565972,0,0,12.722026,1,4180455.4666,851787.3483,4726028.8777,4180454.6803,851784.5067,4726026.8652,6.4674,1.000000
42,0,15.979438,5.742988,2.684380,0,0,12.450395,1,4180454.8458,851786.3033,4726030.6537,4180453.9501,851784.3580,4726027.5333,15.9750,1.000000
43,0,16.599998,3.764581,2.911901,0,0,12.190583,1,4180453.7306,851786.4574,4726030.3306,4180453.2200,851784.2092,4726028.2015,13.8072,1.000000
44,0,8.245421,1.181826,2.287476,0,0,11.941839,1,4180452.7558,851786.2113,4726030.6312,4180452.4899,851784.0604,4726028.8696,5.8528,2.446406
45,0,6.510705,0.979689,2.139479,0,0,11.703477,1,4180451.7843,851786.2774,4726031.7993,4180451.7598,851783.9117,4726029.5378,8.6723,1.000000
46,0,11.947038,1.914002,2.261789,0,0,11.474866,1,4180451.2752,851785.8252,4726031.8126,4180451.0296,851783.7629,4726030.2059,8.9893,1.000000
47,0,6.088564,1.231547,2.114199,0,0,11.255427,1,4180450.4023,851785.3215,4726032.4583,4180450.2995,851783.6141,4726030.8740,3.7981,1.000000
48,0,10.884857,1.661558,2.216806,0,0,11.044627,1,4180450.0248,851784.9805,4726032.5552,4180449.5694,851783.4654,4726031.5422,9.0689,1.000000
49,0,6.125640,1.392086,2.342115,0,0,10.841972,1,4180449.0899,851785.2076,4726033.3679,4180448.8393,851783.3166,4726032.2103,7.2653,1.000000
50,0,4.616344,0.225249,1.858219,0,0,10.647010,1,4180448.4885,851785.0345,4726034.4727,4180448.1091,851783.1678,4726032.8785,6.0441,1.000000
51,0,7.460642,0.959996,1.905352,0,0,10.459318,1,4180447.8440,851785.1979,4726035.7007,4180447.3790,851783.0191,4726033.5466,9.9666,1.000000
52,0,31.170690,15.503901,2.881444,1,0,10.278507,1,4180446.1147,851784.8687,4726038.3257,4180446.6489,851782.8703,4726034.2148,32.8358,1.000000
53,0,8.946016,1.813743,2.686360,0,0,10.104215,1,4180444.9995,851784.6491,4726039.6050,4180445.9187,851782.7215,4726034.8829,12.5974,2.497397
54,0,18.315277,3.798014,2.947979,0,0,9.936106,1,4180444.3581,851784.8622,4726039.3294,4180445.1886,851782.5728,4726035.5511,14.4038,1.000000
55,0,13.082795,2.766396,3.126649,0,0,9.773867,1,4180443.2811,851784.5277,4726039.4409,4180444.4585,851782.4240,4726036.2192,9.8146,3.276360
56,0,4.369201,0.702316,3.005481,0,0,9.617207,1,4180442.2885,851784.4581,4726040.2136,4180443.7284,851782.2752,4726036.8874,6.6761,4.587495
