t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
37,0,5.250165,0.605021,2.361848,0,0,22.614819,1,4180453.3383,851785.6188,4726022.3126,4180457.6008,851785.1018,4726024.1926,5.2108
38,0,16.242640,4.406966,2.498988,0,0,22.599026,1,4180453.8197,851786.4397,4726024.6838,4180456.8706,851784.9530,4726024.8607,13.2688
39,0,17.936839,3.240221,2.591105,0,0,22.588247,1,4180452.4148,851786.5741,4726023.0974,4180456.1405,851784.8043,4726025.5289,19.0908
40,0,8.484625,2.428270,2.678201,0,0,22.581332,1,4180452.2618,851787.9273,4726023.7353,4180455.4104,851784.6555,4726026.1970,9.7943
41,0,4.034792,0.362620,2.410835,0,0,22.577332,1,4180451.7784,851787.5365,4726024.6610,4180454.6803,851784.5067,4726026.8652,2.0409
42,0,15.157019,3.484020,2.301164,0,0,22.575473,1,4180451.6283,851786.3089,4726026.9768,4180453.9501,851784.3580,4726027.5333,11.4618
43,0,8.212789,1.948430,2.069400,0,0,22.575131,1,4180452.1997,851785.6674,4726028.1705,4180453.2200,851784.2092,4726028.2015,5.5491
44,0,6.747011,1.164359,2.050949,0,0,22.575809,1,4180452.4248,851786.1981,4726029.4273,4180452.4899,851784.0604,4726028.8696,7.2732
45,0,12.337539,1.921875,2.045410,0,0,22.577119,1,4180452.5707,851785.4857,4726028.7106,4180451.7598,851783.9117,4726029.5378,11.3212
46,0,11.738914,1.855793,2.141758,0,0,22.578766,1,4180451.5265,851785.9860,4726030.7833,4180451.0296,851783.7629,4726030.2059,11.3002
47,0,5.666652,0.943945,2.175650,0,0,22.580527,1,4180451.0672,851784.9820,4726031.8731,4180450.2995,851783.6141,4726030.8740,4.2486
48,0,12.069536,3.345631,2.069516,0,0,22.582243,1,4180451.9336,851785.7994,4726031.6195,4180449.5694,851783.4654,4726031.5422,12.7186
49,0,15.313032,4.637627,2.209257,0,0,22.583807,1,4180451.0708,851783.9780,4726030.8266,4180448.8393,851783.3166,4726032.2103,13.4790
50,0,11.214639,1.183817,2.084812,0,0,22.585148,1,4180450.3978,851783.6550,4726032.9041,4180448.1091,851783.1678,4726032.8785,9.6942
51,0,14.156378,2.476768,2.296227,0,0,22.586231,1,4180450.6686,851784.0914,4726035.3540,4180447.3790,851783.0191,4726033.5466,15.2243
52,0,9.747440,2.988218,2.246646,0,0,22.587040,1,4180449.1680,851782.6978,4726036.5942,4180446.6489,851782.8703,4726034.2148,8.0246
53,0,17.762626,5.709405,2.622744,0,0,22.587581,1,4180450.6361,851782.7775,4726035.6031,4180445.9187,851782.7215,4726034.8829,17.7544
54,0,13.835126,3.379350,2.844243,0,0,22.587869,1,4180449.6543,851783.8158,4726034.8716,4180445.1886,851782.5728,4726035.5511,12.6200
55,0,14.142434,2.250352,2.877091,0,0,22.587929,1,4180449.1677,851782.8993,4726037.2794,4180444.4585,851782.4240,4726036.2192,13.6925
56,0,18.917780,3.226257,3.014137,0,0,22.587793,1,4180448.6082,851782.8876,4726040.5262,4180443.7284,851782.2752,4726036.8874,20.4391
57,0,16.836416,4.232632,3.343006,0,0,22.587491,1,4180446.9181,851781.9701,4726043.3936,4180442.9982,851782.1265,4726037.5555,18.9733
58,0,15.615647,7.152701,3.723713,0,0,22.587057,1,4180444.8702,851783.7475,4726043.5887,4180442.2681,851781.9777,4726038.2237,11.8424
59,0,9.199863,2.381071,3.498057,0,0,22.586521,1,4180442.7896,851783.3479,4726044.0176,4180441.5380,851781.8289,4726038.8918,5.3452
60,0,5.954438,0.474548,3.427130,0,0,22.585914,1,4180441.9593,851782.7939,4726045.6971,4180440.8079,851781.6802,4726039.5600,10.9014
61,0,16.091309,6.690947,3.848548,0,0,22.585261,1,4180438.8596,851781.9472,4726045.5140,4180440.0777,851781.5314,4726040.2281,12.2110
62,0,17.298767,8.128750,4.362601,0,0,22.584586,1,4180439.7534,851779.8658,4726045.2673,4180439.3476,851781.3826,4726040.8963,13.9138
63,0,6.481445,1.336743,3.925335,0,0,22.583908,1,4180437.8248,851779.1855,4726046.3621,4180438.6175,851781.2339,4726041.5644,9.2052
64,0,14.865365,4.458422,4.033242,0,0,22.583243,1,4180437.4329,851780.4862,4726045.7796,4180437.8873,851781.0851,4726042.2326,9.5923
65,0,8.721538,1.848688,3.993076,0,0,22.582603,1,4180436.8962,851781.4236,4726047.2560,4180437.1572,851780.9363,4726042.9007,10.8554
66,0,14.727154,2.618954,3.932346,0,0,22.582000,1,4180435.8054,851782.2203,4726046.2590,4180436.4271,851780.7876,4726043.5689,10.9534
67,0,10.541078,3.394307,3.848513,0,0,22.581439,1,4180436.6998,851782.0394,4726046.4405,4180435.6970,851780.6388,4726044.2370,9.1196
68,0,15.477805,2.308562,3.364099,0,0,22.580924,1,4180436.0558,851782.4824,4726049.1009,4180434.9668,851780.4900,4726044.9052,17.9759
69,0,4.639739,0.669280,3.192920,0,0,22.580460,1,4180435.0267,851781.7563,4726050.0983,4180434.2367,851780.3413,4726045.5733,6.1875
70,0,11.810562,4.381795,3.583645,0,0,22.580045,1,4180433.3635,851779.8718,4726051.3936,4180433.5066,851780.1925,4726046.2414,12.6805
71,0,16.813400,3.486890,3.263239,0,0,22.579679,1,4180432.2392,851780.7129,4726050.1794,4180432.7764,851780.0437,4726046.9096,11.8639
72,0,13.951088,6.514029,3.101767,0,0,22.579361,1,4180428.8807,851780.6996,4726050.6459,4180432.0463,851779.8950,4726047.5777,14.6324
73,0,11.682000,4.621096,3.430202,0,0,22.579087,1,4180429.8693,851780.8926,4726051.3285,4180431.3162,851779.7462,4726048.2459,8.9728
74,0,5.933841,1.057552,3.090115,0,0,22.578854,1,4180429.7985,851780.2414,4726051.7035,4180430.5861,851779.5974,4726048.9140,3.5461
75,0,12.486248,2.341727,3.139419,0,0,22.578659,1,4180427.9186,851780.4396,4726050.9341,4180429.8559,851779.4487,4726049.5822,10.8297
76,0,8.293395,0.761920,2.953716,0,0,22.578498,1,4180426.9811,851780.7677,4726052.5361,4180429.1258,851779.2999,4726050.2503,10.0514
77,0,12.078011,3.270746,2.941360,0,0,22.578366,1,4180425.5708,851782.2281,4726052.0913,4180428.3957,851779.1511,4726050.9185,12.6787
78,0,7.477661,1.858561,2.896360,0,0,22.578261,1,4180425.9135,851782.5685,4726052.8030,4180427.6655,851779.0024,4726051.5866,6.7139
79,0,9.733571,1.690824,2.998514,0,0,22.578178,1,4180425.5682,851783.6084,4726054.3970,4180426.9354,851778.8536,4726052.2548,12.6779
80,0,17.534697,8.112265,3.371561,0,0,22.578114,1,4180425.4411,851781.2271,4726053.7726,4180426.2053,851778.7048,4726052.9229,11.9989
81,0,12.312217,2.487125,3.271584,0,0,22.578065,1,4180425.9090,851780.8691,4726052.9669,4180425.4752,851778.5561,4726053.5911,11.2227
82,0,9.419136,1.520985,2.772280,0,0,22.578030,1,4180424.6209,851780.0713,4726054.4367,4180424.7450,851778.4073,4726054.2592,7.7286
83,0,9.081089,1.107233,2.420894,0,0,22.578006,1,4180424.3112,851780.5148,4726053.8808,4180424.0149,851778.2585,4726054.9273,9.7655
84,0,6.837968,1.508895,2.466028,0,0,22.577989,1,4180424.4978,851779.5416,4726054.1032,4180423.2848,851778.1098,4726055.5955,6.2879
85,0,7.355599,1.829319,2.414787,0,0,22.577980,1,4180425.2626,851779.1685,4726054.5808,4180422.5546,851777.9610,4726056.2636,8.7848
86,0,18.235270,3.588300,2.697425,0,0,22.577975,1,4180424.1029,851778.4049,4726057.3266,4180421.8245,851777.8122,4726056.9318,15.7474
87,0,5.571279,0.993583,2.469709,0,0,22.577974,1,4180424.3990,851778.7059,4726058.1264,4180421.0944,851777.6635,4726057.5999,7.9760
88,0,4.567885,0.295265,2.313379,0,0,22.577975,1,4180424.2711,851778.2511,4726059.2751,4180420.3642,851777.5147,4726058.2681,6.9145
89,0,15.655886,2.292106,2.373508,0,0,22.577978,1,4180423.4770,851777.9824,4726061.9702,4180419.6341,851777.3659,4726058.9362,16.6122
90,0,23.569232,6.372187,2.199500,0,0,22.577982,1,4180423.8879,851778.8515,4726059.8264,4180418.9040,851777.2172,4726059.6044,22.0644
91,0,6.289488,0.798797,2.030667,0,0,22.577986,1,4180424.2338,851779.0632,4726059.8019,4180418.1739,851777.0684,4726060.2725,10.8120
92,0,14.477782,3.285360,2.207105,0,0,22.577990,1,4180422.7550,851779.6321,4726061.9747,4180417.4437,851776.9196,4726060.9406,13.0553
93,0,2.620913,0.221435,2.118525,0,0,22.577994,1,4180422.1106,851779.2208,4726062.5468,4180416.7136,851776.7709,4726061.6088,4.3476
94,0,10.461514,1.250838,2.092719,0,0,22.577998,1,4180421.4095,851778.6149,4726061.8946,4180415.9835,851776.6221,4726062.2769,9.9079
95,0,9.991209,3.016197,2.211407,0,0,22.578000,1,4180419.3612,851778.0039,4726062.9593,4180415.2533,851776.4733,4726062.9451,4.6107
96,0,11.978576,4.275146,2.280092,0,0,22.578003,1,4180420.0377,851776.3213,4726064.1933,4180414.5232,851776.3246,4726063.6132,14.0638
97,0,14.496565,2.896205,2.470354,0,0,22.578005,1,4180418.4296,851776.3072,4726066.5479,4180413.7931,851776.1758,4726064.2814,13.6303
98,0,8.103618,0.646741,2.505501,0,0,22.578006,1,4180418.0965,851775.8783,4726066.2643,4180413.0629,851776.0270,4726064.9495,8.3809
99,0,16.378022,5.980675,2.874358,0,0,22.578006,1,4180415.3524,851775.5665,4726068.4218,4180412.3328,851775.8783,4726065.6176,14.2148
100,0,7.178642,1.313579,2.368497,0,0,22.578007,1,4180413.7904,851775.9861,4726069.7623,4180411.6027,851775.7295,4726066.2858,8.0176
101,0,7.094782,1.133481,2.401966,0,0,22.578006,1,4180412.9159,851776.7062,4726069.9641,4180410.8725,851775.5807,4726066.9539,5.8835
102,0,11.108426,3.235085,2.396938,0,0,22.578006,1,4180410.9547,851775.3013,4726071.5609,4180410.1424,851775.4320,4726067.6221,11.7250
103,0,5.025511,0.407859,2.415581,0,0,22.578005,1,4180409.5506,851774.8013,4726072.9628,4180409.4123,851775.2832,4726068.2902,8.6775
104,0,10.356743,3.553367,2.645834,0,0,22.578004,1,4180407.8463,851776.2317,4726074.0805,4180408.6821,851775.1344,4726068.9584,11.7596
105,0,7.099988,0.960148,2.440229,0,0,22.578003,1,4180406.5000,851775.3376,4726075.7011,4180407.9520,851774.9857,4726069.6265,11.5750
106,0,8.286981,1.333623,2.146076,0,0,22.578002,1,4180404.6485,851774.5081,4726075.8221,4180407.2219,851774.8369,4726070.2946,6.7318
107,0,4.487051,0.593323,1.915788,0,0,22.578000,1,4180404.1965,851774.3447,4726076.4667,4180406.4917,851774.6881,4726070.9628,4.0033
108,0,6.995360,0.451408,1.896255,0,0,22.577999,1,4180403.2404,851774.0679,4726078.2570,4180405.7616,851774.5394,4726071.6309,12.7960
109,0,12.052369,2.289984,1.527186,0,0,22.577998,1,4180403.2532,851773.5141,4726080.5483,4180405.0315,851774.3906,4726072.2991,17.5922
110,0,8.277780,2.226629,1.618491,0,0,22.577997,1,4180400.8321,851773.4930,4726081.3284,4180404.3014,851774.2418,4726072.9672,11.9962
111,0,15.358615,4.041249,1.909268,0,0,22.577996,1,4180401.2859,851773.4948,4726080.6895,4180403.5712,851774.0931,4726073.6354,6.2251
112,0,6.023345,1.067192,1.692478,0,0,22.577995,1,4180401.3040,851773.2136,4726081.2548,4180402.8411,851773.9443,4726074.3035,5.6610
113,0,19.831162,7.636091,2.415301,0,0,22.577994,1,4180398.1473,851773.4732,4726080.1444,4180402.1110,851773.7955,4726074.9716,16.4365
114,0,10.132648,3.371687,2.397133,0,0,22.577993,1,4180398.6856,851774.0312,4726081.1505,4180401.3808,851773.6468,4726075.6398,9.4464
115,0,9.229480,0.848395,2.385958,0,0,22.577992,1,4180397.9085,851774.2374,4726080.7162,4180400.6507,851773.4980,4726076.3079,4.5290
116,0,13.803175,2.140492,2.466645,0,0,22.577992,1,4180397.7143,851773.8889,4726079.6565,4180399.9206,851773.3492,4726076.9761,8.8056
117,0,26.328152,10.085547,3.415867,0,0,22.577991,1,4180399.0794,851774.3334,4726077.1554,4180399.1904,851773.2004,4726077.6442,23.1039
118,0,9.462814,2.976053,3.668332,0,0,22.577991,1,4180399.2637,851772.7958,4726077.2913,4180398.4603,851773.0517,4726078.3123,8.5990
119,0,5.920627,0.829831,3.522316,0,0,22.577990,1,4180398.0113,851772.1675,4726078.1089,4180397.7302,851772.9029,4726078.9805,4.6265
120,0,6.818166,1.542432,3.453897,0,0,22.577990,1,4180397.0281,851770.7628,4726078.6120,4180397.0000,851772.7541,4726079.6486,7.4230
121,0,11.528116,4.303288,3.480101,0,0,22.577990,1,4180396.6866,851772.4073,4726078.6072,4180396.2699,851772.6054,4726080.3168,9.9393
122,0,10.871816,2.164115,3.589793,0,0,22.577990,1,4180394.8915,851771.9419,4726080.0764,4180395.5398,851772.4566,4726080.9849,9.0354
123,0,8.266697,1.190782,2.945262,0,0,22.577989,1,4180393.4704,851771.2000,4726081.3787,4180394.8096,851772.3078,4726081.6530,7.9521
124,0,6.416458,0.544014,2.662495,0,0,22.577989,1,4180392.9098,851771.3752,4726081.0914,4180394.0795,851772.1591,4726082.3212,6.3869
125,0,3.012674,0.307219,2.608377,0,0,22.577989,1,4180391.5999,851771.0310,4726081.5093,4180393.3493,851772.0103,4726082.9893,4.6965
126,0,7.876829,0.805765,2.474905,0,0,22.577989,1,4180390.7979,851771.3952,4726082.8843,4180392.6192,851771.8615,4726083.6575,6.1142
127,0,9.621153,1.568627,1.623213,0,0,22.577989,1,4180390.8113,851771.7573,4726082.3345,4180391.8891,851771.7128,4726084.3256,9.5768
128,0,6.422193,1.256495,1.451257,0,0,22.577989,1,4180389.2477,851772.3617,4726083.0661,4180391.1589,851771.5640,4726084.9937,6.8855
129,0,7.203346,1.756993,1.543973,0,0,22.577989,1,4180388.8935,851771.1098,4726083.5130,4180390.4288,851771.4152,4726085.6619,6.2026
130,0,5.832484,0.766750,1.466405,0,0,22.577989,1,4180387.8216,851770.2263,4726083.4377,4180389.6987,851771.2665,4726086.3300,8.2767
131,0,15.882524,3.049319,1.341008,0,0,22.577989,1,4180386.0116,851770.2773,4726085.7969,4180388.9685,851771.1177,4726086.9982,13.8541
132,0,9.700365,0.882121,1.212808,0,0,22.577989,1,4180385.0283,851770.3236,4726085.0750,4180388.2384,851770.9689,4726087.6663,11.4900
133,0,15.372312,5.728504,1.666581,0,0,22.577989,1,4180385.3353,851771.9580,4726084.2723,4180387.5083,851770.8202,4726088.3344,15.8203
134,0,9.993829,1.763010,1.788480,0,0,22.577989,1,4180384.7394,851773.0186,4726085.6983,4180386.7781,851770.6714,4726089.0026,8.0938
135,0,13.251347,5.843117,2.342070,0,0,22.577989,1,4180384.4458,851770.8038,4726086.4060,4180386.0480,851770.5226,4726089.6707,10.3430
136,0,13.538489,3.760397,2.637533,0,0,22.577989,1,4180384.8405,851771.9271,4726088.1690,4180385.3179,851770.3739,4726090.3389,10.6654
137,0,16.905244,3.346365,2.815307,0,0,22.577989,1,4180383.7654,851770.9978,4726086.6228,4180384.5877,851770.2251,4726091.0070,18.7383
138,0,7.518252,1.606740,2.850332,0,0,22.577989,1,4180382.2659,851771.7734,4726087.4879,4180383.8576,851770.0763,4726091.6751,7.8565
139,0,14.141509,2.980409,2.972673,0,0,22.577989,1,4180380.5987,851772.6307,4726086.3005,4180383.1275,851769.9276,4726092.3433,19.1869
140,0,14.011412,4.252084,3.321207,0,0,22.577989,1,4180381.3821,851771.8876,4726087.9118,4180382.3973,851769.7788,4726093.0114,7.3391
141,0,18.613227,3.558533,3.372128,0,0,22.577989,1,4180381.4968,851771.7155,4726090.7072,4180381.6672,851769.6300,4726093.6796,13.2269
142,0,5.244380,0.614391,3.345355,0,0,22.577989,1,4180380.9215,851770.9995,4726090.8185,4180380.9370,851769.4813,4726094.3477,6.8178
143,0,16.154772,4.294838,3.201989,0,0,22.577989,1,4180378.9958,851769.9959,4726093.1426,4180380.2069,851769.3325,4726095.0158,12.6781
144,0,30.298768,9.824138,4.008101,0,0,22.577989,1,4180379.2357,851770.9634,4726097.6593,4180379.4768,851769.1837,4726095.6840,28.4528
145,0,15.854292,2.575184,3.681308,0,0,22.577989,1,4180379.2773,851771.0150,4726096.5728,4180378.7466,851769.0349,4726096.3521,13.8530
146,0,10.361264,3.023686,3.607637,0,0,22.577989,1,4180378.3673,851772.5759,4726098.0257,4180378.0165,851768.8862,4726097.0202,12.2503
147,0,20.317688,3.825589,3.655559,0,0,22.577989,1,4180377.5566,851772.2491,4726096.2166,4180377.2864,851768.7374,4726097.6884,19.0326
148,0,22.852565,7.773507,4.272236,0,0,22.577989,1,4180376.1121,851770.4517,4726094.2518,4180376.5562,851768.5886,4726098.3565,22.7458
149,0,5.761121,0.963368,4.070532,0,0,22.577989,1,4180376.1825,851770.8630,4726095.0598,4180375.8261,851768.4399,4726099.0247,6.4194
150,1,702.754036,16721.260173,1675.771341,1,1,22.577989,1,4180466.4227,851860.0628,4726096.7000,4180375.0960,851768.2911,4726099.6928,704.8009
151,1,573.223577,11117.774266,2787.192914,1,1,22.577989,1,4180547.9775,851942.6669,4726099.7430,4180374.3658,851768.1423,4726100.3609,715.4066
152,1,439.072649,6526.561437,3439.787619,1,1,22.577989,1,4180620.3424,852014.7931,4726099.4764,4180373.6357,851767.9936,4726101.0291,708.4327
153,1,327.133820,3622.485479,3801.606683,1,1,22.577989,1,4180683.0945,852079.0631,4726101.1058,4180372.9055,851767.8448,4726101.6972,707.1827
154,1,236.735849,1896.524813,3990.276750,1,1,22.577989,1,4180738.2852,852136.0770,4726102.7763,4180372.1754,851767.6960,4726102.3653,713.1091
155,1,145.785553,719.679877,4061.987220,1,1,22.577989,1,4180785.7618,852183.5802,4726103.6178,4180371.4453,851767.5473,4726103.0335,706.4896
156,1,69.210838,162.014653,4077.886316,1,1,22.577989,1,4180825.1770,852223.2329,4726104.7945,4180370.7151,851767.3985,4726103.7016,700.2955
157,1,18.692430,8.835963,4078.387354,0,1,22.577989,1,4180858.3834,852257.0239,4726107.0777,4180369.9850,851767.2497,4726104.3698,704.1872
